condition_status,year,race,bmi,wtgain,counts,condition
No,2021,Black or African American,Overweight 25.0-29.9,Less than 11 pounds,16225,pre-pregnancy_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,11 to 20 pounds,29847,pre-pregnancy_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,21 to 30 pounds,38298,pre-pregnancy_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,31 to 40 pounds,29481,pre-pregnancy_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,41 to 98 pounds,32596,pre-pregnancy_hypertension
No,2021,Black or African American,Overweight 25.0-29.9,Unknown or Not Stated,1247,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,Less than 11 pounds,18083,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,11 to 20 pounds,24166,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,21 to 30 pounds,25661,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,31 to 40 pounds,17896,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,41 to 98 pounds,17958,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity I 30.0-34.9,Unknown or Not Stated,1090,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,Less than 11 pounds,13868,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,11 to 20 pounds,13900,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,21 to 30 pounds,12652,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,31 to 40 pounds,7914,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,41 to 98 pounds,7865,pre-pregnancy_hypertension
No,2021,Black or African American,Obesity II 35.0-39.9,Unknown or Not Stated,957,pre-pregnancy_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,Less than 11 pounds,14174,pre-pregnancy_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,11 to 20 pounds,10876,pre-pregnancy_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,21 to 30 pounds,9036,pre-pregnancy_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,31 to 40 pounds,5203,pre-pregnancy_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,41 to 98 pounds,5150,pre-pregnancy_hypertension
No,2021,Black or African American,Extreme Obesity III > 39.9,Unknown or Not Stated,1559,pre-pregnancy_hypertension
No,2021,Black or African American,Unknown or Not Stated,Less than 11 pounds,211,pre-pregnancy_hypertension
No,2021,Black or African American,Unknown or Not Stated,11 to 20 pounds,247,pre-pregnancy_hypertension
No,2021,Black or African American,Unknown or Not Stated,21 to 30 pounds,273,pre-pregnancy_hypertension
No,2021,Black or African American,Unknown or Not Stated,31 to 40 pounds,165,pre-pregnancy_hypertension
No,2021,Black or African American,Unknown or Not Stated,41 to 98 pounds,192,pre-pregnancy_hypertension
No,2021,Black or African American,Unknown or Not Stated,Unknown or Not Stated,12533,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,11 to 20 pounds,27,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,21 to 30 pounds,60,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,31 to 40 pounds,45,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,41 to 98 pounds,46,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Less than 11 pounds,271,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,11 to 20 pounds,489,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,21 to 30 pounds,834,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,31 to 40 pounds,658,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,41 to 98 pounds,713,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Unknown or Not Stated,45,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,Less than 11 pounds,522,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,11 to 20 pounds,659,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,21 to 30 pounds,812,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,31 to 40 pounds,625,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,41 to 98 pounds,741,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,Unknown or Not Stated,47,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,Less than 11 pounds,567,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,11 to 20 pounds,593,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,21 to 30 pounds,592,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,31 to 40 pounds,378,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,41 to 98 pounds,497,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,Unknown or Not Stated,42,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,Less than 11 pounds,419,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,11 to 20 pounds,366,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,21 to 30 pounds,345,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,31 to 40 pounds,225,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,41 to 98 pounds,255,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,Unknown or Not Stated,40,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,Less than 11 pounds,368,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,11 to 20 pounds,233,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,21 to 30 pounds,219,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,31 to 40 pounds,149,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,41 to 98 pounds,175,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,Unknown or Not Stated,21,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,Less than 11 pounds,19,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,11 to 20 pounds,11,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,21 to 30 pounds,13,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,31 to 40 pounds,10,pre-pregnancy_hypertension
No,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,Unknown or Not Stated,736,pre-pregnancy_hypertension
No,2021,White,Underweight <18.5,Less than 11 pounds,1347,pre-pregnancy_hypertension
No,2021,White,Underweight <18.5,11 to 20 pounds,7831,pre-pregnancy_hypertension
No,2021,White,Underweight <18.5,21 to 30 pounds,20418,pre-pregnancy_hypertension
No,2021,White,Underweight <18.5,31 to 40 pounds,18882,pre-pregnancy_hypertension
No,2021,White,Underweight <18.5,41 to 98 pounds,16801,pre-pregnancy_hypertension
No,2021,White,Underweight <18.5,Unknown or Not Stated,496,pre-pregnancy_hypertension
No,2021,White,Normal 18.5-24.9,Less than 11 pounds,29952,pre-pregnancy_hypertension
No,2021,White,Normal 18.5-24.9,11 to 20 pounds,129205,pre-pregnancy_hypertension
No,2021,White,Normal 18.5-24.9,21 to 30 pounds,317767,pre-pregnancy_hypertension
No,2021,White,Normal 18.5-24.9,31 to 40 pounds,311363,pre-pregnancy_hypertension
No,2021,White,Normal 18.5-24.9,41 to 98 pounds,253660,pre-pregnancy_hypertension
No,2021,White,Normal 18.5-24.9,Unknown or Not Stated,7926,pre-pregnancy_hypertension
No,2021,White,Overweight 25.0-29.9,Less than 11 pounds,53465,pre-pregnancy_hypertension
No,2021,White,Overweight 25.0-29.9,11 to 20 pounds,129006,pre-pregnancy_hypertension
No,2021,White,Overweight 25.0-29.9,21 to 30 pounds,202355,pre-pregnancy_hypertension
No,2021,White,Overweight 25.0-29.9,31 to 40 pounds,170619,pre-pregnancy_hypertension
No,2021,White,Overweight 25.0-29.9,41 to 98 pounds,161608,pre-pregnancy_hypertension
No,2021,White,Overweight 25.0-29.9,Unknown or Not Stated,5177,pre-pregnancy_hypertension
No,2021,White,Obesity I 30.0-34.9,Less than 11 pounds,60493,pre-pregnancy_hypertension
No,2021,White,Obesity I 30.0-34.9,11 to 20 pounds,95747,pre-pregnancy_hypertension
No,2021,White,Obesity I 30.0-34.9,21 to 30 pounds,110232,pre-pregnancy_hypertension
No,2021,White,Obesity I 30.0-34.9,31 to 40 pounds,76992,pre-pregnancy_hypertension
No,2021,White,Obesity I 30.0-34.9,41 to 98 pounds,69979,pre-pregnancy_hypertension
No,2021,White,Obesity I 30.0-34.9,Unknown or Not Stated,3667,pre-pregnancy_hypertension
No,2021,White,Obesity II 35.0-39.9,Less than 11 pounds,45943,pre-pregnancy_hypertension
No,2021,White,Obesity II 35.0-39.9,11 to 20 pounds,51316,pre-pregnancy_hypertension
No,2021,White,Obesity II 35.0-39.9,21 to 30 pounds,48527,pre-pregnancy_hypertension
No,2021,White,Obesity II 35.0-39.9,31 to 40 pounds,29264,pre-pregnancy_hypertension
No,2021,White,Obesity II 35.0-39.9,41 to 98 pounds,25449,pre-pregnancy_hypertension
No,2021,White,Obesity II 35.0-39.9,Unknown or Not Stated,2603,pre-pregnancy_hypertension
No,2021,White,Extreme Obesity III > 39.9,Less than 11 pounds,41869,pre-pregnancy_hypertension
No,2021,White,Extreme Obesity III > 39.9,11 to 20 pounds,33373,pre-pregnancy_hypertension
No,2021,White,Extreme Obesity III > 39.9,21 to 30 pounds,27452,pre-pregnancy_hypertension
No,2021,White,Extreme Obesity III > 39.9,31 to 40 pounds,15434,pre-pregnancy_hypertension
No,2021,White,Extreme Obesity III > 39.9,41 to 98 pounds,13287,pre-pregnancy_hypertension
No,2021,White,Extreme Obesity III > 39.9,Unknown or Not Stated,3607,pre-pregnancy_hypertension
No,2021,White,Unknown or Not Stated,Less than 11 pounds,805,pre-pregnancy_hypertension
No,2021,White,Unknown or Not Stated,11 to 20 pounds,1223,pre-pregnancy_hypertension
No,2021,White,Unknown or Not Stated,21 to 30 pounds,1641,pre-pregnancy_hypertension
No,2021,White,Unknown or Not Stated,31 to 40 pounds,1252,pre-pregnancy_hypertension
No,2021,White,Unknown or Not Stated,41 to 98 pounds,927,pre-pregnancy_hypertension
No,2021,White,Unknown or Not Stated,Unknown or Not Stated,41778,pre-pregnancy_hypertension
No,2021,More than one race,Underweight <18.5,Less than 11 pounds,84,pre-pregnancy_hypertension
No,2021,More than one race,Underweight <18.5,11 to 20 pounds,309,pre-pregnancy_hypertension
No,2021,More than one race,Underweight <18.5,21 to 30 pounds,878,pre-pregnancy_hypertension
No,2021,More than one race,Underweight <18.5,31 to 40 pounds,895,pre-pregnancy_hypertension
No,2021,More than one race,Underweight <18.5,41 to 98 pounds,937,pre-pregnancy_hypertension
No,2021,More than one race,Underweight <18.5,Unknown or Not Stated,31,pre-pregnancy_hypertension
No,2021,More than one race,Normal 18.5-24.9,Less than 11 pounds,1394,pre-pregnancy_hypertension
No,2021,More than one race,Normal 18.5-24.9,11 to 20 pounds,4132,pre-pregnancy_hypertension
No,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,9724,pre-pregnancy_hypertension
No,2021,More than one race,Normal 18.5-24.9,31 to 40 pounds,10317,pre-pregnancy_hypertension
No,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,10900,pre-pregnancy_hypertension
No,2021,More than one race,Normal 18.5-24.9,Unknown or Not Stated,383,pre-pregnancy_hypertension
No,2021,More than one race,Overweight 25.0-29.9,Less than 11 pounds,2305,pre-pregnancy_hypertension
No,2021,More than one race,Overweight 25.0-29.9,11 to 20 pounds,4121,pre-pregnancy_hypertension
No,2021,More than one race,Overweight 25.0-29.9,21 to 30 pounds,6578,pre-pregnancy_hypertension
No,2021,More than one race,Overweight 25.0-29.9,31 to 40 pounds,5891,pre-pregnancy_hypertension
No,2021,More than one race,Overweight 25.0-29.9,41 to 98 pounds,7314,pre-pregnancy_hypertension
No,2021,More than one race,Overweight 25.0-29.9,Unknown or Not Stated,253,pre-pregnancy_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,Less than 11 pounds,2638,pre-pregnancy_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,11 to 20 pounds,3294,pre-pregnancy_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,21 to 30 pounds,3843,pre-pregnancy_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,31 to 40 pounds,3134,pre-pregnancy_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,41 to 98 pounds,3484,pre-pregnancy_hypertension
No,2021,More than one race,Obesity I 30.0-34.9,Unknown or Not Stated,202,pre-pregnancy_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,Less than 11 pounds,2094,pre-pregnancy_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,11 to 20 pounds,1967,pre-pregnancy_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,21 to 30 pounds,2046,pre-pregnancy_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,31 to 40 pounds,1346,pre-pregnancy_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,41 to 98 pounds,1338,pre-pregnancy_hypertension
No,2021,More than one race,Obesity II 35.0-39.9,Unknown or Not Stated,140,pre-pregnancy_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,Less than 11 pounds,2158,pre-pregnancy_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,11 to 20 pounds,1551,pre-pregnancy_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,21 to 30 pounds,1325,pre-pregnancy_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,31 to 40 pounds,765,pre-pregnancy_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,41 to 98 pounds,817,pre-pregnancy_hypertension
No,2021,More than one race,Extreme Obesity III > 39.9,Unknown or Not Stated,234,pre-pregnancy_hypertension
No,2021,More than one race,Unknown or Not Stated,Less than 11 pounds,19,pre-pregnancy_hypertension
No,2021,More than one race,Unknown or Not Stated,11 to 20 pounds,25,pre-pregnancy_hypertension
No,2021,More than one race,Unknown or Not Stated,21 to 30 pounds,36,pre-pregnancy_hypertension
No,2021,More than one race,Unknown or Not Stated,31 to 40 pounds,22,pre-pregnancy_hypertension
No,2021,More than one race,Unknown or Not Stated,41 to 98 pounds,31,pre-pregnancy_hypertension
No,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,1978,pre-pregnancy_hypertension
Unknown or Not Stated,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,13,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,21,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,18,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,11,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,38,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,14,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,17,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,85,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,28,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,11 to 20 pounds,30,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,21 to 30 pounds,43,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,31 to 40 pounds,40,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,41 to 98 pounds,32,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,Unknown or Not Stated,28,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,Less than 11 pounds,28,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,11 to 20 pounds,34,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,21 to 30 pounds,36,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,31 to 40 pounds,27,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,41 to 98 pounds,21,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,Unknown or Not Stated,22,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,Less than 11 pounds,18,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,11 to 20 pounds,18,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,21 to 30 pounds,16,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,41 to 98 pounds,10,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,Unknown or Not Stated,14,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity II 35.0-39.9,Less than 11 pounds,10,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Obesity II 35.0-39.9,11 to 20 pounds,10,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Extreme Obesity III > 39.9,11 to 20 pounds,11,pre-pregnancy_hypertension
Unknown or Not Stated,2021,Black or African American,Unknown or Not Stated,Unknown or Not Stated,298,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Underweight <18.5,11 to 20 pounds,18,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Underweight <18.5,21 to 30 pounds,25,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Underweight <18.5,31 to 40 pounds,29,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Underweight <18.5,41 to 98 pounds,28,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Underweight <18.5,Unknown or Not Stated,20,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Normal 18.5-24.9,Less than 11 pounds,93,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Normal 18.5-24.9,11 to 20 pounds,168,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Normal 18.5-24.9,21 to 30 pounds,277,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Normal 18.5-24.9,31 to 40 pounds,250,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Normal 18.5-24.9,41 to 98 pounds,200,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Normal 18.5-24.9,Unknown or Not Stated,184,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,Less than 11 pounds,90,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,11 to 20 pounds,126,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,21 to 30 pounds,130,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,31 to 40 pounds,126,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,41 to 98 pounds,109,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,Unknown or Not Stated,111,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,Less than 11 pounds,66,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,11 to 20 pounds,86,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,21 to 30 pounds,81,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,31 to 40 pounds,62,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,41 to 98 pounds,61,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,Unknown or Not Stated,42,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,Less than 11 pounds,34,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,11 to 20 pounds,42,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,21 to 30 pounds,40,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,31 to 40 pounds,16,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,41 to 98 pounds,15,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,Unknown or Not Stated,31,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,Less than 11 pounds,35,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,11 to 20 pounds,28,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,21 to 30 pounds,19,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,41 to 98 pounds,11,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,Unknown or Not Stated,15,pre-pregnancy_hypertension
Unknown or Not Stated,2021,White,Unknown or Not Stated,Unknown or Not Stated,1152,pre-pregnancy_hypertension
Unknown or Not Stated,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,13,pre-pregnancy_hypertension
Unknown or Not Stated,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,12,pre-pregnancy_hypertension
Unknown or Not Stated,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,17,pre-pregnancy_hypertension
Yes,2021,American Indian or Alaska Native,Normal 18.5-24.9,21 to 30 pounds,19,infertility_treatment_used
Yes,2021,American Indian or Alaska Native,Normal 18.5-24.9,31 to 40 pounds,18,infertility_treatment_used
Yes,2021,American Indian or Alaska Native,Normal 18.5-24.9,41 to 98 pounds,19,infertility_treatment_used
Yes,2021,American Indian or Alaska Native,Overweight 25.0-29.9,11 to 20 pounds,11,infertility_treatment_used
Yes,2021,American Indian or Alaska Native,Overweight 25.0-29.9,21 to 30 pounds,16,infertility_treatment_used
Yes,2021,American Indian or Alaska Native,Overweight 25.0-29.9,31 to 40 pounds,23,infertility_treatment_used
Yes,2021,American Indian or Alaska Native,Overweight 25.0-29.9,41 to 98 pounds,15,infertility_treatment_used
Yes,2021,Asian,Underweight <18.5,11 to 20 pounds,55,infertility_treatment_used
Yes,2021,Asian,Underweight <18.5,21 to 30 pounds,136,infertility_treatment_used
Yes,2021,Asian,Underweight <18.5,31 to 40 pounds,93,infertility_treatment_used
Yes,2021,Asian,Underweight <18.5,41 to 98 pounds,45,infertility_treatment_used
Yes,2021,Asian,Normal 18.5-24.9,Less than 11 pounds,127,infertility_treatment_used
Yes,2021,Asian,Normal 18.5-24.9,11 to 20 pounds,854,infertility_treatment_used
Yes,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,1946,infertility_treatment_used
Yes,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,1442,infertility_treatment_used
Yes,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,753,infertility_treatment_used
Yes,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,48,infertility_treatment_used
Yes,2021,Asian,Overweight 25.0-29.9,Less than 11 pounds,213,infertility_treatment_used
Yes,2021,Asian,Overweight 25.0-29.9,11 to 20 pounds,630,infertility_treatment_used
Yes,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,790,infertility_treatment_used
Yes,2021,Asian,Overweight 25.0-29.9,31 to 40 pounds,533,infertility_treatment_used
Yes,2021,Asian,Overweight 25.0-29.9,41 to 98 pounds,273,infertility_treatment_used
Yes,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,15,infertility_treatment_used
Yes,2021,Asian,Obesity I 30.0-34.9,Less than 11 pounds,159,infertility_treatment_used
Yes,2021,Asian,Obesity I 30.0-34.9,11 to 20 pounds,264,infertility_treatment_used
Yes,2021,Asian,Obesity I 30.0-34.9,21 to 30 pounds,257,infertility_treatment_used
Yes,2021,Asian,Obesity I 30.0-34.9,31 to 40 pounds,123,infertility_treatment_used
Yes,2021,Asian,Obesity I 30.0-34.9,41 to 98 pounds,95,infertility_treatment_used
Yes,2021,Asian,Obesity II 35.0-39.9,Less than 11 pounds,60,infertility_treatment_used
Yes,2021,Asian,Obesity II 35.0-39.9,11 to 20 pounds,71,infertility_treatment_used
Yes,2021,Asian,Obesity II 35.0-39.9,21 to 30 pounds,56,infertility_treatment_used
Yes,2021,Asian,Obesity II 35.0-39.9,31 to 40 pounds,33,infertility_treatment_used
Yes,2021,Asian,Obesity II 35.0-39.9,41 to 98 pounds,23,infertility_treatment_used
Yes,2021,Asian,Extreme Obesity III > 39.9,Less than 11 pounds,19,infertility_treatment_used
Yes,2021,Asian,Extreme Obesity III > 39.9,11 to 20 pounds,13,infertility_treatment_used
Yes,2021,Asian,Extreme Obesity III > 39.9,21 to 30 pounds,23,infertility_treatment_used
Yes,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,154,infertility_treatment_used
Yes,2021,Black or African American,Underweight <18.5,21 to 30 pounds,10,infertility_treatment_used
Yes,2021,Black or African American,Underweight <18.5,31 to 40 pounds,13,infertility_treatment_used
Yes,2021,Black or African American,Underweight <18.5,41 to 98 pounds,13,infertility_treatment_used
Yes,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,54,infertility_treatment_used
Yes,2021,Black or African American,Normal 18.5-24.9,11 to 20 pounds,179,infertility_treatment_used
Yes,2021,Black or African American,Normal 18.5-24.9,21 to 30 pounds,365,infertility_treatment_used
Yes,2021,Black or African American,Normal 18.5-24.9,31 to 40 pounds,319,infertility_treatment_used
Yes,2021,Black or African American,Normal 18.5-24.9,41 to 98 pounds,309,infertility_treatment_used
