"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Number of Previous Cesareans""","""Number of Previous Cesareans Code""","Births"
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""99""",629
NA,"""Florida""","""12""","""2019""","""2019""","""0 previous cesareans""","""0""",184281
NA,"""Florida""","""12""","""2019""","""2019""","""1 previous cesareans""","""1""",24211
NA,"""Florida""","""12""","""2019""","""2019""","""2 previous cesareans""","""2""",8248
NA,"""Florida""","""12""","""2019""","""2019""","""3 previous cesareans""","""3""",2065
NA,"""Florida""","""12""","""2019""","""2019""","""4 or more previous cesareans""","""4""",608
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""99""",589
NA,"""Florida""","""12""","""2020""","""2020""","""0 previous cesareans""","""0""",176229
NA,"""Florida""","""12""","""2020""","""2020""","""1 previous cesareans""","""1""",22362
NA,"""Florida""","""12""","""2020""","""2020""","""2 previous cesareans""","""2""",7756
NA,"""Florida""","""12""","""2020""","""2020""","""3 previous cesareans""","""3""",2119
NA,"""Florida""","""12""","""2020""","""2020""","""4 or more previous cesareans""","""4""",579
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""99""",626
NA,"""Florida""","""12""","""2021""","""2021""","""0 previous cesareans""","""0""",182529
NA,"""Florida""","""12""","""2021""","""2021""","""1 previous cesareans""","""1""",22805
NA,"""Florida""","""12""","""2021""","""2021""","""2 previous cesareans""","""2""",7615
NA,"""Florida""","""12""","""2021""","""2021""","""3 previous cesareans""","""3""",1909
NA,"""Florida""","""12""","""2021""","""2021""","""4 or more previous cesareans""","""4""",603
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""99""",799
NA,"""Georgia""","""13""","""2016""","""2016""","""0 previous cesareans""","""0""",111642
NA,"""Georgia""","""13""","""2016""","""2016""","""1 previous cesareans""","""1""",12245
NA,"""Georgia""","""13""","""2016""","""2016""","""2 previous cesareans""","""2""",4363
NA,"""Georgia""","""13""","""2016""","""2016""","""3 previous cesareans""","""3""",1151
NA,"""Georgia""","""13""","""2016""","""2016""","""4 or more previous cesareans""","""4""",279
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""99""",362
NA,"""Georgia""","""13""","""2017""","""2017""","""0 previous cesareans""","""0""",110921
NA,"""Georgia""","""13""","""2017""","""2017""","""1 previous cesareans""","""1""",12298
NA,"""Georgia""","""13""","""2017""","""2017""","""2 previous cesareans""","""2""",4220
NA,"""Georgia""","""13""","""2017""","""2017""","""3 previous cesareans""","""3""",1114
NA,"""Georgia""","""13""","""2017""","""2017""","""4 or more previous cesareans""","""4""",289
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""99""",401
NA,"""Georgia""","""13""","""2018""","""2018""","""0 previous cesareans""","""0""",108421
NA,"""Georgia""","""13""","""2018""","""2018""","""1 previous cesareans""","""1""",11850
NA,"""Georgia""","""13""","""2018""","""2018""","""2 previous cesareans""","""2""",4142
NA,"""Georgia""","""13""","""2018""","""2018""","""3 previous cesareans""","""3""",1171
NA,"""Georgia""","""13""","""2018""","""2018""","""4 or more previous cesareans""","""4""",319
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""99""",269
NA,"""Georgia""","""13""","""2019""","""2019""","""0 previous cesareans""","""0""",108918
NA,"""Georgia""","""13""","""2019""","""2019""","""1 previous cesareans""","""1""",11588
NA,"""Georgia""","""13""","""2019""","""2019""","""2 previous cesareans""","""2""",4185
NA,"""Georgia""","""13""","""2019""","""2019""","""3 previous cesareans""","""3""",1158
NA,"""Georgia""","""13""","""2019""","""2019""","""4 or more previous cesareans""","""4""",317
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""99""",205
NA,"""Georgia""","""13""","""2020""","""2020""","""0 previous cesareans""","""0""",106124
NA,"""Georgia""","""13""","""2020""","""2020""","""1 previous cesareans""","""1""",10841
NA,"""Georgia""","""13""","""2020""","""2020""","""2 previous cesareans""","""2""",3849
NA,"""Georgia""","""13""","""2020""","""2020""","""3 previous cesareans""","""3""",1161
NA,"""Georgia""","""13""","""2020""","""2020""","""4 or more previous cesareans""","""4""",354
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""99""",144
NA,"""Georgia""","""13""","""2021""","""2021""","""0 previous cesareans""","""0""",106732
NA,"""Georgia""","""13""","""2021""","""2021""","""1 previous cesareans""","""1""",11493
NA,"""Georgia""","""13""","""2021""","""2021""","""2 previous cesareans""","""2""",4173
NA,"""Georgia""","""13""","""2021""","""2021""","""3 previous cesareans""","""3""",1160
NA,"""Georgia""","""13""","""2021""","""2021""","""4 or more previous cesareans""","""4""",341
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""99""",174
NA,"""Hawaii""","""15""","""2016""","""2016""","""0 previous cesareans""","""0""",15773
NA,"""Hawaii""","""15""","""2016""","""2016""","""1 previous cesareans""","""1""",1503
NA,"""Hawaii""","""15""","""2016""","""2016""","""2 previous cesareans""","""2""",550
NA,"""Hawaii""","""15""","""2016""","""2016""","""3 previous cesareans""","""3""",172
NA,"""Hawaii""","""15""","""2016""","""2016""","""4 or more previous cesareans""","""4""",56
NA,"""Hawaii""","""15""","""2017""","""2017""","""0 previous cesareans""","""0""",15423
NA,"""Hawaii""","""15""","""2017""","""2017""","""1 previous cesareans""","""1""",1439
NA,"""Hawaii""","""15""","""2017""","""2017""","""2 previous cesareans""","""2""",457
NA,"""Hawaii""","""15""","""2017""","""2017""","""3 previous cesareans""","""3""",154
NA,"""Hawaii""","""15""","""2017""","""2017""","""4 or more previous cesareans""","""4""",40
NA,"""Hawaii""","""15""","""2018""","""2018""","""0 previous cesareans""","""0""",14912
NA,"""Hawaii""","""15""","""2018""","""2018""","""1 previous cesareans""","""1""",1386
NA,"""Hawaii""","""15""","""2018""","""2018""","""2 previous cesareans""","""2""",474
NA,"""Hawaii""","""15""","""2018""","""2018""","""3 previous cesareans""","""3""",146
NA,"""Hawaii""","""15""","""2018""","""2018""","""4 or more previous cesareans""","""4""",53
NA,"""Hawaii""","""15""","""2019""","""2019""","""0 previous cesareans""","""0""",14761
NA,"""Hawaii""","""15""","""2019""","""2019""","""1 previous cesareans""","""1""",1339
NA,"""Hawaii""","""15""","""2019""","""2019""","""2 previous cesareans""","""2""",469
NA,"""Hawaii""","""15""","""2019""","""2019""","""3 previous cesareans""","""3""",160
NA,"""Hawaii""","""15""","""2019""","""2019""","""4 or more previous cesareans""","""4""",67
NA,"""Hawaii""","""15""","""2020""","""2020""","""0 previous cesareans""","""0""",13834
NA,"""Hawaii""","""15""","""2020""","""2020""","""1 previous cesareans""","""1""",1321
NA,"""Hawaii""","""15""","""2020""","""2020""","""2 previous cesareans""","""2""",441
NA,"""Hawaii""","""15""","""2020""","""2020""","""3 previous cesareans""","""3""",138
NA,"""Hawaii""","""15""","""2020""","""2020""","""4 or more previous cesareans""","""4""",49
NA,"""Hawaii""","""15""","""2021""","""2021""","""0 previous cesareans""","""0""",13708
NA,"""Hawaii""","""15""","""2021""","""2021""","""1 previous cesareans""","""1""",1277
NA,"""Hawaii""","""15""","""2021""","""2021""","""2 previous cesareans""","""2""",450
NA,"""Hawaii""","""15""","""2021""","""2021""","""3 previous cesareans""","""3""",141
NA,"""Hawaii""","""15""","""2021""","""2021""","""4 or more previous cesareans""","""4""",41
NA,"""Idaho""","""16""","""2016""","""2016""","""0 previous cesareans""","""0""",19479
NA,"""Idaho""","""16""","""2016""","""2016""","""1 previous cesareans""","""1""",1949
NA,"""Idaho""","""16""","""2016""","""2016""","""2 previous cesareans""","""2""",696
NA,"""Idaho""","""16""","""2016""","""2016""","""3 previous cesareans""","""3""",222
NA,"""Idaho""","""16""","""2016""","""2016""","""4 or more previous cesareans""","""4""",84
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""99""",52
NA,"""Idaho""","""16""","""2017""","""2017""","""0 previous cesareans""","""0""",19260
NA,"""Idaho""","""16""","""2017""","""2017""","""1 previous cesareans""","""1""",1855
NA,"""Idaho""","""16""","""2017""","""2017""","""2 previous cesareans""","""2""",721
NA,"""Idaho""","""16""","""2017""","""2017""","""3 previous cesareans""","""3""",222
NA,"""Idaho""","""16""","""2017""","""2017""","""4 or more previous cesareans""","""4""",86
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""99""",37
NA,"""Idaho""","""16""","""2018""","""2018""","""0 previous cesareans""","""0""",18646
NA,"""Idaho""","""16""","""2018""","""2018""","""1 previous cesareans""","""1""",1819
NA,"""Idaho""","""16""","""2018""","""2018""","""2 previous cesareans""","""2""",629
NA,"""Idaho""","""16""","""2018""","""2018""","""3 previous cesareans""","""3""",200
NA,"""Idaho""","""16""","""2018""","""2018""","""4 or more previous cesareans""","""4""",70
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""99""",39
NA,"""Idaho""","""16""","""2019""","""2019""","""0 previous cesareans""","""0""",19200
NA,"""Idaho""","""16""","""2019""","""2019""","""1 previous cesareans""","""1""",1843
NA,"""Idaho""","""16""","""2019""","""2019""","""2 previous cesareans""","""2""",688
NA,"""Idaho""","""16""","""2019""","""2019""","""3 previous cesareans""","""3""",229
NA,"""Idaho""","""16""","""2019""","""2019""","""4 or more previous cesareans""","""4""",73
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""99""",30
NA,"""Idaho""","""16""","""2020""","""2020""","""0 previous cesareans""","""0""",18842
NA,"""Idaho""","""16""","""2020""","""2020""","""1 previous cesareans""","""1""",1788
NA,"""Idaho""","""16""","""2020""","""2020""","""2 previous cesareans""","""2""",611
NA,"""Idaho""","""16""","""2020""","""2020""","""3 previous cesareans""","""3""",194
NA,"""Idaho""","""16""","""2020""","""2020""","""4 or more previous cesareans""","""4""",62
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""99""",36
NA,"""Idaho""","""16""","""2021""","""2021""","""0 previous cesareans""","""0""",19658
NA,"""Idaho""","""16""","""2021""","""2021""","""1 previous cesareans""","""1""",1827
NA,"""Idaho""","""16""","""2021""","""2021""","""2 previous cesareans""","""2""",647
NA,"""Idaho""","""16""","""2021""","""2021""","""3 previous cesareans""","""3""",201
NA,"""Idaho""","""16""","""2021""","""2021""","""4 or more previous cesareans""","""4""",58
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""99""",36
NA,"""Illinois""","""17""","""2016""","""2016""","""0 previous cesareans""","""0""",130540
NA,"""Illinois""","""17""","""2016""","""2016""","""1 previous cesareans""","""1""",16527
NA,"""Illinois""","""17""","""2016""","""2016""","""2 previous cesareans""","""2""",5421
NA,"""Illinois""","""17""","""2016""","""2016""","""3 previous cesareans""","""3""",1384
NA,"""Illinois""","""17""","""2016""","""2016""","""4 or more previous cesareans""","""4""",328
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""99""",245
NA,"""Illinois""","""17""","""2017""","""2017""","""0 previous cesareans""","""0""",125788
NA,"""Illinois""","""17""","""2017""","""2017""","""1 previous cesareans""","""1""",16047
NA,"""Illinois""","""17""","""2017""","""2017""","""2 previous cesareans""","""2""",5292
NA,"""Illinois""","""17""","""2017""","""2017""","""3 previous cesareans""","""3""",1459
NA,"""Illinois""","""17""","""2017""","""2017""","""4 or more previous cesareans""","""4""",406
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""99""",398
NA,"""Illinois""","""17""","""2018""","""2018""","""0 previous cesareans""","""0""",121469
NA,"""Illinois""","""17""","""2018""","""2018""","""1 previous cesareans""","""1""",15913
NA,"""Illinois""","""17""","""2018""","""2018""","""2 previous cesareans""","""2""",5299
NA,"""Illinois""","""17""","""2018""","""2018""","""3 previous cesareans""","""3""",1473
NA,"""Illinois""","""17""","""2018""","""2018""","""4 or more previous cesareans""","""4""",399
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""99""",262
NA,"""Illinois""","""17""","""2019""","""2019""","""0 previous cesareans""","""0""",118020
NA,"""Illinois""","""17""","""2019""","""2019""","""1 previous cesareans""","""1""",15203
NA,"""Illinois""","""17""","""2019""","""2019""","""2 previous cesareans""","""2""",5006
NA,"""Illinois""","""17""","""2019""","""2019""","""3 previous cesareans""","""3""",1354
NA,"""Illinois""","""17""","""2019""","""2019""","""4 or more previous cesareans""","""4""",415
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""99""",130
NA,"""Illinois""","""17""","""2020""","""2020""","""0 previous cesareans""","""0""",112391
NA,"""Illinois""","""17""","""2020""","""2020""","""1 previous cesareans""","""1""",14335
NA,"""Illinois""","""17""","""2020""","""2020""","""2 previous cesareans""","""2""",4625
NA,"""Illinois""","""17""","""2020""","""2020""","""3 previous cesareans""","""3""",1372
NA,"""Illinois""","""17""","""2020""","""2020""","""4 or more previous cesareans""","""4""",404
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""99""",171
NA,"""Illinois""","""17""","""2021""","""2021""","""0 previous cesareans""","""0""",111411
NA,"""Illinois""","""17""","""2021""","""2021""","""1 previous cesareans""","""1""",14388
NA,"""Illinois""","""17""","""2021""","""2021""","""2 previous cesareans""","""2""",4583
NA,"""Illinois""","""17""","""2021""","""2021""","""3 previous cesareans""","""3""",1281
NA,"""Illinois""","""17""","""2021""","""2021""","""4 or more previous cesareans""","""4""",400
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""99""",126
NA,"""Indiana""","""18""","""2016""","""2016""","""0 previous cesareans""","""0""",71647
NA,"""Indiana""","""18""","""2016""","""2016""","""1 previous cesareans""","""1""",7569
NA,"""Indiana""","""18""","""2016""","""2016""","""2 previous cesareans""","""2""",2796
NA,"""Indiana""","""18""","""2016""","""2016""","""3 previous cesareans""","""3""",825
NA,"""Indiana""","""18""","""2016""","""2016""","""4 or more previous cesareans""","""4""",247
NA,"""Indiana""","""18""","""2017""","""2017""","""0 previous cesareans""","""0""",70717
NA,"""Indiana""","""18""","""2017""","""2017""","""1 previous cesareans""","""1""",7461
NA,"""Indiana""","""18""","""2017""","""2017""","""2 previous cesareans""","""2""",2872
NA,"""Indiana""","""18""","""2017""","""2017""","""3 previous cesareans""","""3""",840
NA,"""Indiana""","""18""","""2017""","""2017""","""4 or more previous cesareans""","""4""",270
NA,"""Indiana""","""18""","""2017""","""2017""","""Unknown or Not Stated""","""99""",10
NA,"""Indiana""","""18""","""2018""","""2018""","""0 previous cesareans""","""0""",70214
NA,"""Indiana""","""18""","""2018""","""2018""","""1 previous cesareans""","""1""",7535
NA,"""Indiana""","""18""","""2018""","""2018""","""2 previous cesareans""","""2""",2804
NA,"""Indiana""","""18""","""2018""","""2018""","""3 previous cesareans""","""3""",826
NA,"""Indiana""","""18""","""2018""","""2018""","""4 or more previous cesareans""","""4""",258
NA,"""Indiana""","""18""","""2019""","""2019""","""0 previous cesareans""","""0""",69554
NA,"""Indiana""","""18""","""2019""","""2019""","""1 previous cesareans""","""1""",7566
NA,"""Indiana""","""18""","""2019""","""2019""","""2 previous cesareans""","""2""",2715
NA,"""Indiana""","""18""","""2019""","""2019""","""3 previous cesareans""","""3""",759
NA,"""Indiana""","""18""","""2019""","""2019""","""4 or more previous cesareans""","""4""",261
NA,"""Indiana""","""18""","""2020""","""2020""","""0 previous cesareans""","""0""",67430
NA,"""Indiana""","""18""","""2020""","""2020""","""1 previous cesareans""","""1""",7422
NA,"""Indiana""","""18""","""2020""","""2020""","""2 previous cesareans""","""2""",2690
NA,"""Indiana""","""18""","""2020""","""2020""","""3 previous cesareans""","""3""",766
NA,"""Indiana""","""18""","""2020""","""2020""","""4 or more previous cesareans""","""4""",261
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""99""",47
NA,"""Indiana""","""18""","""2021""","""2021""","""0 previous cesareans""","""0""",68583
NA,"""Indiana""","""18""","""2021""","""2021""","""1 previous cesareans""","""1""",7287
NA,"""Indiana""","""18""","""2021""","""2021""","""2 previous cesareans""","""2""",2619
NA,"""Indiana""","""18""","""2021""","""2021""","""3 previous cesareans""","""3""",739
NA,"""Indiana""","""18""","""2021""","""2021""","""4 or more previous cesareans""","""4""",256
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""99""",462
NA,"""Iowa""","""19""","""2016""","""2016""","""0 previous cesareans""","""0""",33695
NA,"""Iowa""","""19""","""2016""","""2016""","""1 previous cesareans""","""1""",3760
NA,"""Iowa""","""19""","""2016""","""2016""","""2 previous cesareans""","""2""",1413
NA,"""Iowa""","""19""","""2016""","""2016""","""3 previous cesareans""","""3""",400
NA,"""Iowa""","""19""","""2016""","""2016""","""4 or more previous cesareans""","""4""",132
NA,"""Iowa""","""19""","""2017""","""2017""","""0 previous cesareans""","""0""",32678
NA,"""Iowa""","""19""","""2017""","""2017""","""1 previous cesareans""","""1""",3775
NA,"""Iowa""","""19""","""2017""","""2017""","""2 previous cesareans""","""2""",1473
NA,"""Iowa""","""19""","""2017""","""2017""","""3 previous cesareans""","""3""",399
NA,"""Iowa""","""19""","""2017""","""2017""","""4 or more previous cesareans""","""4""",103
NA,"""Iowa""","""19""","""2018""","""2018""","""0 previous cesareans""","""0""",31993
NA,"""Iowa""","""19""","""2018""","""2018""","""1 previous cesareans""","""1""",3862
NA,"""Iowa""","""19""","""2018""","""2018""","""2 previous cesareans""","""2""",1415
NA,"""Iowa""","""19""","""2018""","""2018""","""3 previous cesareans""","""3""",400
NA,"""Iowa""","""19""","""2018""","""2018""","""4 or more previous cesareans""","""4""",114
NA,"""Iowa""","""19""","""2019""","""2019""","""0 previous cesareans""","""0""",32017
NA,"""Iowa""","""19""","""2019""","""2019""","""1 previous cesareans""","""1""",3724
NA,"""Iowa""","""19""","""2019""","""2019""","""2 previous cesareans""","""2""",1395
NA,"""Iowa""","""19""","""2019""","""2019""","""3 previous cesareans""","""3""",384
NA,"""Iowa""","""19""","""2019""","""2019""","""4 or more previous cesareans""","""4""",122
NA,"""Iowa""","""19""","""2020""","""2020""","""0 previous cesareans""","""0""",30933
NA,"""Iowa""","""19""","""2020""","""2020""","""1 previous cesareans""","""1""",3449
NA,"""Iowa""","""19""","""2020""","""2020""","""2 previous cesareans""","""2""",1234
NA,"""Iowa""","""19""","""2020""","""2020""","""3 previous cesareans""","""3""",388
NA,"""Iowa""","""19""","""2020""","""2020""","""4 or more previous cesareans""","""4""",106
NA,"""Iowa""","""19""","""2021""","""2021""","""0 previous cesareans""","""0""",31518
NA,"""Iowa""","""19""","""2021""","""2021""","""1 previous cesareans""","""1""",3532
NA,"""Iowa""","""19""","""2021""","""2021""","""2 previous cesareans""","""2""",1321
NA,"""Iowa""","""19""","""2021""","""2021""","""3 previous cesareans""","""3""",354
NA,"""Iowa""","""19""","""2021""","""2021""","""4 or more previous cesareans""","""4""",102
NA,"""Kansas""","""20""","""2016""","""2016""","""0 previous cesareans""","""0""",32523
NA,"""Kansas""","""20""","""2016""","""2016""","""1 previous cesareans""","""1""",3582
NA,"""Kansas""","""20""","""2016""","""2016""","""2 previous cesareans""","""2""",1388
NA,"""Kansas""","""20""","""2016""","""2016""","""3 previous cesareans""","""3""",436
NA,"""Kansas""","""20""","""2016""","""2016""","""4 or more previous cesareans""","""4""",119
NA,"""Kansas""","""20""","""2017""","""2017""","""0 previous cesareans""","""0""",31313
NA,"""Kansas""","""20""","""2017""","""2017""","""1 previous cesareans""","""1""",3337
NA,"""Kansas""","""20""","""2017""","""2017""","""2 previous cesareans""","""2""",1333
NA,"""Kansas""","""20""","""2017""","""2017""","""3 previous cesareans""","""3""",387
NA,"""Kansas""","""20""","""2017""","""2017""","""4 or more previous cesareans""","""4""",147
NA,"""Kansas""","""20""","""2018""","""2018""","""0 previous cesareans""","""0""",30965
NA,"""Kansas""","""20""","""2018""","""2018""","""1 previous cesareans""","""1""",3437
NA,"""Kansas""","""20""","""2018""","""2018""","""2 previous cesareans""","""2""",1308
NA,"""Kansas""","""20""","""2018""","""2018""","""3 previous cesareans""","""3""",420
NA,"""Kansas""","""20""","""2018""","""2018""","""4 or more previous cesareans""","""4""",128
NA,"""Kansas""","""20""","""2019""","""2019""","""0 previous cesareans""","""0""",30131
NA,"""Kansas""","""20""","""2019""","""2019""","""1 previous cesareans""","""1""",3418
NA,"""Kansas""","""20""","""2019""","""2019""","""2 previous cesareans""","""2""",1290
NA,"""Kansas""","""20""","""2019""","""2019""","""3 previous cesareans""","""3""",411
NA,"""Kansas""","""20""","""2019""","""2019""","""4 or more previous cesareans""","""4""",143
NA,"""Kansas""","""20""","""2020""","""2020""","""0 previous cesareans""","""0""",29082
NA,"""Kansas""","""20""","""2020""","""2020""","""1 previous cesareans""","""1""",3431
NA,"""Kansas""","""20""","""2020""","""2020""","""2 previous cesareans""","""2""",1268
NA,"""Kansas""","""20""","""2020""","""2020""","""3 previous cesareans""","""3""",442
NA,"""Kansas""","""20""","""2020""","""2020""","""4 or more previous cesareans""","""4""",148
NA,"""Kansas""","""20""","""2021""","""2021""","""0 previous cesareans""","""0""",29283
NA,"""Kansas""","""20""","""2021""","""2021""","""1 previous cesareans""","""1""",3566
NA,"""Kansas""","""20""","""2021""","""2021""","""2 previous cesareans""","""2""",1292
NA,"""Kansas""","""20""","""2021""","""2021""","""3 previous cesareans""","""3""",411
NA,"""Kansas""","""20""","""2021""","""2021""","""4 or more previous cesareans""","""4""",145
NA,"""Kentucky""","""21""","""2016""","""2016""","""0 previous cesareans""","""0""",45907
NA,"""Kentucky""","""21""","""2016""","""2016""","""1 previous cesareans""","""1""",6125
NA,"""Kentucky""","""21""","""2016""","""2016""","""2 previous cesareans""","""2""",2378
NA,"""Kentucky""","""21""","""2016""","""2016""","""3 previous cesareans""","""3""",572
NA,"""Kentucky""","""21""","""2016""","""2016""","""4 or more previous cesareans""","""4""",182
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""99""",285
NA,"""Kentucky""","""21""","""2017""","""2017""","""0 previous cesareans""","""0""",45291
NA,"""Kentucky""","""21""","""2017""","""2017""","""1 previous cesareans""","""1""",6116
NA,"""Kentucky""","""21""","""2017""","""2017""","""2 previous cesareans""","""2""",2296
NA,"""Kentucky""","""21""","""2017""","""2017""","""3 previous cesareans""","""3""",673
NA,"""Kentucky""","""21""","""2017""","""2017""","""4 or more previous cesareans""","""4""",180
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""99""",196
NA,"""Kentucky""","""21""","""2018""","""2018""","""0 previous cesareans""","""0""",44797
NA,"""Kentucky""","""21""","""2018""","""2018""","""1 previous cesareans""","""1""",5865
NA,"""Kentucky""","""21""","""2018""","""2018""","""2 previous cesareans""","""2""",2234
NA,"""Kentucky""","""21""","""2018""","""2018""","""3 previous cesareans""","""3""",680
NA,"""Kentucky""","""21""","""2018""","""2018""","""4 or more previous cesareans""","""4""",203
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""99""",143
NA,"""Kentucky""","""21""","""2019""","""2019""","""0 previous cesareans""","""0""",44079
NA,"""Kentucky""","""21""","""2019""","""2019""","""1 previous cesareans""","""1""",5626
NA,"""Kentucky""","""21""","""2019""","""2019""","""2 previous cesareans""","""2""",2321
NA,"""Kentucky""","""21""","""2019""","""2019""","""3 previous cesareans""","""3""",669
NA,"""Kentucky""","""21""","""2019""","""2019""","""4 or more previous cesareans""","""4""",228
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""99""",146
NA,"""Kentucky""","""21""","""2020""","""2020""","""0 previous cesareans""","""0""",42829
NA,"""Kentucky""","""21""","""2020""","""2020""","""1 previous cesareans""","""1""",5448
NA,"""Kentucky""","""21""","""2020""","""2020""","""2 previous cesareans""","""2""",2042
NA,"""Kentucky""","""21""","""2020""","""2020""","""3 previous cesareans""","""3""",611
NA,"""Kentucky""","""21""","""2020""","""2020""","""4 or more previous cesareans""","""4""",195
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""99""",543
NA,"""Kentucky""","""21""","""2021""","""2021""","""0 previous cesareans""","""0""",43118
NA,"""Kentucky""","""21""","""2021""","""2021""","""1 previous cesareans""","""1""",5828
NA,"""Kentucky""","""21""","""2021""","""2021""","""2 previous cesareans""","""2""",2198
NA,"""Kentucky""","""21""","""2021""","""2021""","""3 previous cesareans""","""3""",633
NA,"""Kentucky""","""21""","""2021""","""2021""","""4 or more previous cesareans""","""4""",196
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""99""",241
NA,"""Louisiana""","""22""","""2016""","""2016""","""0 previous cesareans""","""0""",52031
NA,"""Louisiana""","""22""","""2016""","""2016""","""1 previous cesareans""","""1""",7126
NA,"""Louisiana""","""22""","""2016""","""2016""","""2 previous cesareans""","""2""",2987
NA,"""Louisiana""","""22""","""2016""","""2016""","""3 previous cesareans""","""3""",786
NA,"""Louisiana""","""22""","""2016""","""2016""","""4 or more previous cesareans""","""4""",234
NA,"""Louisiana""","""22""","""2016""","""2016""","""Unknown or Not Stated""","""99""",14
NA,"""Louisiana""","""22""","""2017""","""2017""","""0 previous cesareans""","""0""",49721
NA,"""Louisiana""","""22""","""2017""","""2017""","""1 previous cesareans""","""1""",7241
NA,"""Louisiana""","""22""","""2017""","""2017""","""2 previous cesareans""","""2""",2950
NA,"""Louisiana""","""22""","""2017""","""2017""","""3 previous cesareans""","""3""",854
NA,"""Louisiana""","""22""","""2017""","""2017""","""4 or more previous cesareans""","""4""",248
NA,"""Louisiana""","""22""","""2018""","""2018""","""0 previous cesareans""","""0""",48628
NA,"""Louisiana""","""22""","""2018""","""2018""","""1 previous cesareans""","""1""",6806
NA,"""Louisiana""","""22""","""2018""","""2018""","""2 previous cesareans""","""2""",3039
NA,"""Louisiana""","""22""","""2018""","""2018""","""3 previous cesareans""","""3""",877
NA,"""Louisiana""","""22""","""2018""","""2018""","""4 or more previous cesareans""","""4""",258
NA,"""Louisiana""","""22""","""2019""","""2019""","""0 previous cesareans""","""0""",48205
NA,"""Louisiana""","""22""","""2019""","""2019""","""1 previous cesareans""","""1""",6685
NA,"""Louisiana""","""22""","""2019""","""2019""","""2 previous cesareans""","""2""",2857
NA,"""Louisiana""","""22""","""2019""","""2019""","""3 previous cesareans""","""3""",883
NA,"""Louisiana""","""22""","""2019""","""2019""","""4 or more previous cesareans""","""4""",306
NA,"""Louisiana""","""22""","""2020""","""2020""","""0 previous cesareans""","""0""",46968
NA,"""Louisiana""","""22""","""2020""","""2020""","""1 previous cesareans""","""1""",6336
NA,"""Louisiana""","""22""","""2020""","""2020""","""2 previous cesareans""","""2""",2834
NA,"""Louisiana""","""22""","""2020""","""2020""","""3 previous cesareans""","""3""",875
NA,"""Louisiana""","""22""","""2020""","""2020""","""4 or more previous cesareans""","""4""",273
NA,"""Louisiana""","""22""","""2020""","""2020""","""Unknown or Not Stated""","""99""",42
NA,"""Louisiana""","""22""","""2021""","""2021""","""0 previous cesareans""","""0""",47390
NA,"""Louisiana""","""22""","""2021""","""2021""","""1 previous cesareans""","""1""",6237
NA,"""Louisiana""","""22""","""2021""","""2021""","""2 previous cesareans""","""2""",2606
NA,"""Louisiana""","""22""","""2021""","""2021""","""3 previous cesareans""","""3""",866
NA,"""Louisiana""","""22""","""2021""","""2021""","""4 or more previous cesareans""","""4""",306
NA,"""Louisiana""","""22""","""2021""","""2021""","""Unknown or Not Stated""","""99""",32
NA,"""Maine""","""23""","""2016""","""2016""","""0 previous cesareans""","""0""",11222
NA,"""Maine""","""23""","""2016""","""2016""","""1 previous cesareans""","""1""",1057
