"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Infections Checked""","""Infections Checked Code""","Births"
NA,"""Michigan""","""26""","""2016""","""2016""","""At least one checked""","""0""",2337
NA,"""Michigan""","""26""","""2016""","""2016""","""None checked""","""1""",109953
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",1025
NA,"""Michigan""","""26""","""2017""","""2017""","""At least one checked""","""0""",2345
NA,"""Michigan""","""26""","""2017""","""2017""","""None checked""","""1""",107630
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1451
NA,"""Michigan""","""26""","""2018""","""2018""","""At least one checked""","""0""",2325
NA,"""Michigan""","""26""","""2018""","""2018""","""None checked""","""1""",106663
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",1044
NA,"""Michigan""","""26""","""2019""","""2019""","""At least one checked""","""0""",2454
NA,"""Michigan""","""26""","""2019""","""2019""","""None checked""","""1""",103953
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1479
NA,"""Michigan""","""26""","""2020""","""2020""","""At least one checked""","""0""",2275
NA,"""Michigan""","""26""","""2020""","""2020""","""None checked""","""1""",100421
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1378
NA,"""Michigan""","""26""","""2021""","""2021""","""At least one checked""","""0""",2163
NA,"""Michigan""","""26""","""2021""","""2021""","""None checked""","""1""",101576
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1241
NA,"""Minnesota""","""27""","""2016""","""2016""","""At least one checked""","""0""",1523
NA,"""Minnesota""","""27""","""2016""","""2016""","""None checked""","""1""",68036
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",190
NA,"""Minnesota""","""27""","""2017""","""2017""","""At least one checked""","""0""",1504
NA,"""Minnesota""","""27""","""2017""","""2017""","""None checked""","""1""",66856
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",235
NA,"""Minnesota""","""27""","""2018""","""2018""","""At least one checked""","""0""",1499
NA,"""Minnesota""","""27""","""2018""","""2018""","""None checked""","""1""",65683
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",162
NA,"""Minnesota""","""27""","""2019""","""2019""","""At least one checked""","""0""",1532
NA,"""Minnesota""","""27""","""2019""","""2019""","""None checked""","""1""",64282
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",213
NA,"""Minnesota""","""27""","""2020""","""2020""","""At least one checked""","""0""",1464
NA,"""Minnesota""","""27""","""2020""","""2020""","""None checked""","""1""",61801
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",178
NA,"""Minnesota""","""27""","""2021""","""2021""","""At least one checked""","""0""",1478
NA,"""Minnesota""","""27""","""2021""","""2021""","""None checked""","""1""",62774
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",173
NA,"""Mississippi""","""28""","""2016""","""2016""","""At least one checked""","""0""",1322
NA,"""Mississippi""","""28""","""2016""","""2016""","""None checked""","""1""",36588
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",18
NA,"""Mississippi""","""28""","""2017""","""2017""","""At least one checked""","""0""",1455
NA,"""Mississippi""","""28""","""2017""","""2017""","""None checked""","""1""",35890
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",12
NA,"""Mississippi""","""28""","""2018""","""2018""","""At least one checked""","""0""",1644
NA,"""Mississippi""","""28""","""2018""","""2018""","""None checked""","""1""",35333
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",23
NA,"""Mississippi""","""28""","""2019""","""2019""","""At least one checked""","""0""",1785
NA,"""Mississippi""","""28""","""2019""","""2019""","""None checked""","""1""",34830
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",21
NA,"""Mississippi""","""28""","""2020""","""2020""","""At least one checked""","""0""",1766
NA,"""Mississippi""","""28""","""2020""","""2020""","""None checked""","""1""",33699
NA,"""Mississippi""","""28""","""2021""","""2021""","""At least one checked""","""0""",1898
NA,"""Mississippi""","""28""","""2021""","""2021""","""None checked""","""1""",33248
NA,"""Mississippi""","""28""","""2021""","""2021""","""Unknown or Not Stated""","""9""",10
NA,"""Missouri""","""29""","""2016""","""2016""","""At least one checked""","""0""",2453
NA,"""Missouri""","""29""","""2016""","""2016""","""None checked""","""1""",72250
NA,"""Missouri""","""29""","""2017""","""2017""","""At least one checked""","""0""",2501
NA,"""Missouri""","""29""","""2017""","""2017""","""None checked""","""1""",70532
NA,"""Missouri""","""29""","""2018""","""2018""","""At least one checked""","""0""",2591
NA,"""Missouri""","""29""","""2018""","""2018""","""None checked""","""1""",70677
NA,"""Missouri""","""29""","""2019""","""2019""","""At least one checked""","""0""",2536
NA,"""Missouri""","""29""","""2019""","""2019""","""None checked""","""1""",69587
NA,"""Missouri""","""29""","""2020""","""2020""","""At least one checked""","""0""",2481
NA,"""Missouri""","""29""","""2020""","""2020""","""None checked""","""1""",66800
NA,"""Missouri""","""29""","""2021""","""2021""","""At least one checked""","""0""",2341
NA,"""Missouri""","""29""","""2021""","""2021""","""None checked""","""1""",67111
NA,"""Montana""","""30""","""2016""","""2016""","""At least one checked""","""0""",428
NA,"""Montana""","""30""","""2016""","""2016""","""None checked""","""1""",11827
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Montana""","""30""","""2017""","""2017""","""At least one checked""","""0""",389
NA,"""Montana""","""30""","""2017""","""2017""","""None checked""","""1""",11391
NA,"""Montana""","""30""","""2017""","""2017""","""Unknown or Not Stated""","""9""",19
NA,"""Montana""","""30""","""2018""","""2018""","""At least one checked""","""0""",375
NA,"""Montana""","""30""","""2018""","""2018""","""None checked""","""1""",11127
NA,"""Montana""","""30""","""2018""","""2018""","""Unknown or Not Stated""","""9""",11
NA,"""Montana""","""30""","""2019""","""2019""","""At least one checked""","""0""",410
NA,"""Montana""","""30""","""2019""","""2019""","""None checked""","""1""",10664
NA,"""Montana""","""30""","""2020""","""2020""","""At least one checked""","""0""",358
NA,"""Montana""","""30""","""2020""","""2020""","""None checked""","""1""",10432
NA,"""Montana""","""30""","""2021""","""2021""","""At least one checked""","""0""",324
NA,"""Montana""","""30""","""2021""","""2021""","""None checked""","""1""",10906
NA,"""Nebraska""","""31""","""2016""","""2016""","""At least one checked""","""0""",703
NA,"""Nebraska""","""31""","""2016""","""2016""","""None checked""","""1""",25821
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",65
NA,"""Nebraska""","""31""","""2017""","""2017""","""At least one checked""","""0""",691
NA,"""Nebraska""","""31""","""2017""","""2017""","""None checked""","""1""",25096
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",34
NA,"""Nebraska""","""31""","""2018""","""2018""","""At least one checked""","""0""",602
NA,"""Nebraska""","""31""","""2018""","""2018""","""None checked""","""1""",24844
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Nebraska""","""31""","""2019""","""2019""","""At least one checked""","""0""",598
NA,"""Nebraska""","""31""","""2019""","""2019""","""None checked""","""1""",24114
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",43
NA,"""Nebraska""","""31""","""2020""","""2020""","""At least one checked""","""0""",617
NA,"""Nebraska""","""31""","""2020""","""2020""","""None checked""","""1""",23580
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",94
NA,"""Nebraska""","""31""","""2021""","""2021""","""At least one checked""","""0""",640
NA,"""Nebraska""","""31""","""2021""","""2021""","""None checked""","""1""",23905
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",64
NA,"""Nevada""","""32""","""2016""","""2016""","""At least one checked""","""0""",762
NA,"""Nevada""","""32""","""2016""","""2016""","""None checked""","""1""",35495
NA,"""Nevada""","""32""","""2017""","""2017""","""At least one checked""","""0""",794
NA,"""Nevada""","""32""","""2017""","""2017""","""None checked""","""1""",34960
NA,"""Nevada""","""32""","""2018""","""2018""","""At least one checked""","""0""",682
NA,"""Nevada""","""32""","""2018""","""2018""","""None checked""","""1""",34999
NA,"""Nevada""","""32""","""2019""","""2019""","""At least one checked""","""0""",672
NA,"""Nevada""","""32""","""2019""","""2019""","""None checked""","""1""",34398
NA,"""Nevada""","""32""","""2020""","""2020""","""At least one checked""","""0""",659
NA,"""Nevada""","""32""","""2020""","""2020""","""None checked""","""1""",32993
NA,"""Nevada""","""32""","""2021""","""2021""","""At least one checked""","""0""",588
NA,"""Nevada""","""32""","""2021""","""2021""","""None checked""","""1""",33095
NA,"""New Hampshire""","""33""","""2016""","""2016""","""At least one checked""","""0""",328
NA,"""New Hampshire""","""33""","""2016""","""2016""","""None checked""","""1""",11827
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",112
NA,"""New Hampshire""","""33""","""2017""","""2017""","""At least one checked""","""0""",360
NA,"""New Hampshire""","""33""","""2017""","""2017""","""None checked""","""1""",11731
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",25
NA,"""New Hampshire""","""33""","""2018""","""2018""","""At least one checked""","""0""",356
NA,"""New Hampshire""","""33""","""2018""","""2018""","""None checked""","""1""",11619
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""New Hampshire""","""33""","""2019""","""2019""","""At least one checked""","""0""",345
NA,"""New Hampshire""","""33""","""2019""","""2019""","""None checked""","""1""",11470
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",24
NA,"""New Hampshire""","""33""","""2020""","""2020""","""At least one checked""","""0""",330
NA,"""New Hampshire""","""33""","""2020""","""2020""","""None checked""","""1""",11428
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",33
NA,"""New Hampshire""","""33""","""2021""","""2021""","""At least one checked""","""0""",310
NA,"""New Hampshire""","""33""","""2021""","""2021""","""None checked""","""1""",12282
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",33
NA,"""New Jersey""","""34""","""2016""","""2016""","""At least one checked""","""0""",3397
NA,"""New Jersey""","""34""","""2016""","""2016""","""None checked""","""1""",99245
NA,"""New Jersey""","""34""","""2017""","""2017""","""At least one checked""","""0""",3299
NA,"""New Jersey""","""34""","""2017""","""2017""","""None checked""","""1""",97948
NA,"""New Jersey""","""34""","""2018""","""2018""","""At least one checked""","""0""",3023
NA,"""New Jersey""","""34""","""2018""","""2018""","""None checked""","""1""",98190
NA,"""New Jersey""","""34""","""2018""","""2018""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2019""","""2019""","""At least one checked""","""0""",2817
NA,"""New Jersey""","""34""","""2019""","""2019""","""None checked""","""1""",96758
NA,"""New Jersey""","""34""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2020""","""2020""","""At least one checked""","""0""",2603
NA,"""New Jersey""","""34""","""2020""","""2020""","""None checked""","""1""",95341
NA,"""New Jersey""","""34""","""2020""","""2020""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2021""","""2021""","""At least one checked""","""0""",2409
NA,"""New Jersey""","""34""","""2021""","""2021""","""None checked""","""1""",98647
NA,"""New Jersey""","""34""","""2021""","""2021""","""Unknown or Not Stated""","""9""",441
NA,"""New Mexico""","""35""","""2016""","""2016""","""At least one checked""","""0""",707
NA,"""New Mexico""","""35""","""2016""","""2016""","""None checked""","""1""",23793
NA,"""New Mexico""","""35""","""2016""","""2016""","""Unknown or Not Stated""","""9""",192
NA,"""New Mexico""","""35""","""2017""","""2017""","""At least one checked""","""0""",758
NA,"""New Mexico""","""35""","""2017""","""2017""","""None checked""","""1""",22795
NA,"""New Mexico""","""35""","""2017""","""2017""","""Unknown or Not Stated""","""9""",214
NA,"""New Mexico""","""35""","""2018""","""2018""","""At least one checked""","""0""",651
NA,"""New Mexico""","""35""","""2018""","""2018""","""None checked""","""1""",22252
NA,"""New Mexico""","""35""","""2018""","""2018""","""Unknown or Not Stated""","""9""",136
NA,"""New Mexico""","""35""","""2019""","""2019""","""At least one checked""","""0""",683
NA,"""New Mexico""","""35""","""2019""","""2019""","""None checked""","""1""",22169
NA,"""New Mexico""","""35""","""2019""","""2019""","""Unknown or Not Stated""","""9""",108
NA,"""New Mexico""","""35""","""2020""","""2020""","""At least one checked""","""0""",582
NA,"""New Mexico""","""35""","""2020""","""2020""","""None checked""","""1""",21168
NA,"""New Mexico""","""35""","""2020""","""2020""","""Unknown or Not Stated""","""9""",153
NA,"""New Mexico""","""35""","""2021""","""2021""","""At least one checked""","""0""",564
NA,"""New Mexico""","""35""","""2021""","""2021""","""None checked""","""1""",20712
NA,"""New Mexico""","""35""","""2021""","""2021""","""Unknown or Not Stated""","""9""",115
NA,"""New York""","""36""","""2016""","""2016""","""At least one checked""","""0""",5628
NA,"""New York""","""36""","""2016""","""2016""","""None checked""","""1""",227621
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",1034
NA,"""New York""","""36""","""2017""","""2017""","""At least one checked""","""0""",5304
NA,"""New York""","""36""","""2017""","""2017""","""None checked""","""1""",223304
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1129
NA,"""New York""","""36""","""2018""","""2018""","""At least one checked""","""0""",4946
NA,"""New York""","""36""","""2018""","""2018""","""None checked""","""1""",220122
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",1170
NA,"""New York""","""36""","""2019""","""2019""","""At least one checked""","""0""",5072
NA,"""New York""","""36""","""2019""","""2019""","""None checked""","""1""",215179
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1288
NA,"""New York""","""36""","""2020""","""2020""","""At least one checked""","""0""",4659
NA,"""New York""","""36""","""2020""","""2020""","""None checked""","""1""",203491
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1188
NA,"""New York""","""36""","""2021""","""2021""","""At least one checked""","""0""",4636
NA,"""New York""","""36""","""2021""","""2021""","""None checked""","""1""",204707
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1399
NA,"""North Carolina""","""37""","""2016""","""2016""","""At least one checked""","""0""",3300
NA,"""North Carolina""","""37""","""2016""","""2016""","""None checked""","""1""",117140
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",339
NA,"""North Carolina""","""37""","""2017""","""2017""","""At least one checked""","""0""",3431
NA,"""North Carolina""","""37""","""2017""","""2017""","""None checked""","""1""",116249
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",445
NA,"""North Carolina""","""37""","""2018""","""2018""","""At least one checked""","""0""",3521
NA,"""North Carolina""","""37""","""2018""","""2018""","""None checked""","""1""",114987
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",446
NA,"""North Carolina""","""37""","""2019""","""2019""","""At least one checked""","""0""",3686
NA,"""North Carolina""","""37""","""2019""","""2019""","""None checked""","""1""",114428
NA,"""North Carolina""","""37""","""2019""","""2019""","""Unknown or Not Stated""","""9""",611
NA,"""North Carolina""","""37""","""2020""","""2020""","""At least one checked""","""0""",3876
NA,"""North Carolina""","""37""","""2020""","""2020""","""None checked""","""1""",111388
NA,"""North Carolina""","""37""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1466
NA,"""North Carolina""","""37""","""2021""","""2021""","""At least one checked""","""0""",3862
NA,"""North Carolina""","""37""","""2021""","""2021""","""None checked""","""1""",115897
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",707
NA,"""North Dakota""","""38""","""2016""","""2016""","""At least one checked""","""0""",262
NA,"""North Dakota""","""38""","""2016""","""2016""","""None checked""","""1""",11119
NA,"""North Dakota""","""38""","""2017""","""2017""","""At least one checked""","""0""",283
NA,"""North Dakota""","""38""","""2017""","""2017""","""None checked""","""1""",10451
NA,"""North Dakota""","""38""","""2018""","""2018""","""At least one checked""","""0""",292
NA,"""North Dakota""","""38""","""2018""","""2018""","""None checked""","""1""",10343
NA,"""North Dakota""","""38""","""2019""","""2019""","""At least one checked""","""0""",331
NA,"""North Dakota""","""38""","""2019""","""2019""","""None checked""","""1""",10123
NA,"""North Dakota""","""38""","""2020""","""2020""","""At least one checked""","""0""",287
NA,"""North Dakota""","""38""","""2020""","""2020""","""None checked""","""1""",9772
NA,"""North Dakota""","""38""","""2021""","""2021""","""At least one checked""","""0""",330
NA,"""North Dakota""","""38""","""2021""","""2021""","""None checked""","""1""",9782
NA,"""Ohio""","""39""","""2016""","""2016""","""At least one checked""","""0""",6644
NA,"""Ohio""","""39""","""2016""","""2016""","""None checked""","""1""",131387
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",54
NA,"""Ohio""","""39""","""2017""","""2017""","""At least one checked""","""0""",6831
NA,"""Ohio""","""39""","""2017""","""2017""","""None checked""","""1""",129958
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",43
NA,"""Ohio""","""39""","""2018""","""2018""","""At least one checked""","""0""",6933
NA,"""Ohio""","""39""","""2018""","""2018""","""None checked""","""1""",128178
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",23
NA,"""Ohio""","""39""","""2019""","""2019""","""At least one checked""","""0""",6799
NA,"""Ohio""","""39""","""2019""","""2019""","""None checked""","""1""",127609
NA,"""Ohio""","""39""","""2019""","""2019""","""Unknown or Not Stated""","""9""",53
NA,"""Ohio""","""39""","""2020""","""2020""","""At least one checked""","""0""",6477
NA,"""Ohio""","""39""","""2020""","""2020""","""None checked""","""1""",122690
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",24
NA,"""Ohio""","""39""","""2021""","""2021""","""At least one checked""","""0""",6169
NA,"""Ohio""","""39""","""2021""","""2021""","""None checked""","""1""",123528
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",94
NA,"""Oklahoma""","""40""","""2016""","""2016""","""At least one checked""","""0""",1622
NA,"""Oklahoma""","""40""","""2016""","""2016""","""None checked""","""1""",50969
NA,"""Oklahoma""","""40""","""2017""","""2017""","""At least one checked""","""0""",1596
NA,"""Oklahoma""","""40""","""2017""","""2017""","""None checked""","""1""",48616
NA,"""Oklahoma""","""40""","""2018""","""2018""","""At least one checked""","""0""",1538
NA,"""Oklahoma""","""40""","""2018""","""2018""","""None checked""","""1""",48262
NA,"""Oklahoma""","""40""","""2019""","""2019""","""At least one checked""","""0""",1496
NA,"""Oklahoma""","""40""","""2019""","""2019""","""None checked""","""1""",47641
NA,"""Oklahoma""","""40""","""2020""","""2020""","""At least one checked""","""0""",1506
NA,"""Oklahoma""","""40""","""2020""","""2020""","""None checked""","""1""",46115
NA,"""Oklahoma""","""40""","""2021""","""2021""","""At least one checked""","""0""",1623
NA,"""Oklahoma""","""40""","""2021""","""2021""","""None checked""","""1""",46776
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Unknown or Not Stated""","""9""",11
NA,"""Oregon""","""41""","""2016""","""2016""","""At least one checked""","""0""",1125
NA,"""Oregon""","""41""","""2016""","""2016""","""None checked""","""1""",44405
NA,"""Oregon""","""41""","""2017""","""2017""","""At least one checked""","""0""",1118
NA,"""Oregon""","""41""","""2017""","""2017""","""None checked""","""1""",42512
NA,"""Oregon""","""41""","""2018""","""2018""","""At least one checked""","""0""",985
NA,"""Oregon""","""41""","""2018""","""2018""","""None checked""","""1""",41201
NA,"""Oregon""","""41""","""2019""","""2019""","""At least one checked""","""0""",942
NA,"""Oregon""","""41""","""2019""","""2019""","""None checked""","""1""",40913
NA,"""Oregon""","""41""","""2020""","""2020""","""At least one checked""","""0""",912
NA,"""Oregon""","""41""","""2020""","""2020""","""None checked""","""1""",38905
NA,"""Oregon""","""41""","""2021""","""2021""","""At least one checked""","""0""",999
NA,"""Oregon""","""41""","""2021""","""2021""","""None checked""","""1""",39915
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""At least one checked""","""0""",4453
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""None checked""","""1""",134910
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",46
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""At least one checked""","""0""",4839
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""None checked""","""1""",132854
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",52
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""At least one checked""","""0""",5265
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""None checked""","""1""",130362
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",46
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""At least one checked""","""0""",4986
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""None checked""","""1""",129196
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",48
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""At least one checked""","""0""",4476
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""None checked""","""1""",126149
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",68
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""At least one checked""","""0""",4204
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""None checked""","""1""",128026
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",392
NA,"""Rhode Island""","""44""","""2016""","""2016""","""At least one checked""","""0""",180
NA,"""Rhode Island""","""44""","""2016""","""2016""","""None checked""","""1""",10617
NA,"""Rhode Island""","""44""","""2017""","""2017""","""At least one checked""","""0""",185
NA,"""Rhode Island""","""44""","""2017""","""2017""","""None checked""","""1""",10453
NA,"""Rhode Island""","""44""","""2018""","""2018""","""At least one checked""","""0""",179
NA,"""Rhode Island""","""44""","""2018""","""2018""","""None checked""","""1""",10327
NA,"""Rhode Island""","""44""","""2019""","""2019""","""At least one checked""","""0""",177
NA,"""Rhode Island""","""44""","""2019""","""2019""","""None checked""","""1""",9997
NA,"""Rhode Island""","""44""","""2020""","""2020""","""At least one checked""","""0""",181
NA,"""Rhode Island""","""44""","""2020""","""2020""","""None checked""","""1""",9913
NA,"""Rhode Island""","""44""","""2021""","""2021""","""At least one checked""","""0""",147
NA,"""Rhode Island""","""44""","""2021""","""2021""","""None checked""","""1""",10314
NA,"""South Carolina""","""45""","""2016""","""2016""","""At least one checked""","""0""",2550
NA,"""South Carolina""","""45""","""2016""","""2016""","""None checked""","""1""",54775
NA,"""South Carolina""","""45""","""2016""","""2016""","""Unknown or Not Stated""","""9""",17
NA,"""South Carolina""","""45""","""2017""","""2017""","""At least one checked""","""0""",2334
NA,"""South Carolina""","""45""","""2017""","""2017""","""None checked""","""1""",54681
NA,"""South Carolina""","""45""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2018""","""2018""","""At least one checked""","""0""",2420
NA,"""South Carolina""","""45""","""2018""","""2018""","""None checked""","""1""",54237
NA,"""South Carolina""","""45""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Carolina""","""45""","""2019""","""2019""","""At least one checked""","""0""",2212
NA,"""South Carolina""","""45""","""2019""","""2019""","""None checked""","""1""",54813
NA,"""South Carolina""","""45""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""South Carolina""","""45""","""2020""","""2020""","""At least one checked""","""0""",2117
NA,"""South Carolina""","""45""","""2020""","""2020""","""None checked""","""1""",53567
NA,"""South Carolina""","""45""","""2020""","""2020""","""Unknown or Not Stated""","""9""",20
NA,"""South Carolina""","""45""","""2021""","""2021""","""At least one checked""","""0""",2123
NA,"""South Carolina""","""45""","""2021""","""2021""","""None checked""","""1""",54941
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",121
NA,"""South Dakota""","""46""","""2016""","""2016""","""At least one checked""","""0""",390
NA,"""South Dakota""","""46""","""2016""","""2016""","""None checked""","""1""",11883
NA,"""South Dakota""","""46""","""2017""","""2017""","""At least one checked""","""0""",399
NA,"""South Dakota""","""46""","""2017""","""2017""","""None checked""","""1""",11726
NA,"""South Dakota""","""46""","""2018""","""2018""","""At least one checked""","""0""",385
NA,"""South Dakota""","""46""","""2018""","""2018""","""None checked""","""1""",11490
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",18
NA,"""South Dakota""","""46""","""2019""","""2019""","""At least one checked""","""0""",378
NA,"""South Dakota""","""46""","""2019""","""2019""","""None checked""","""1""",11066
NA,"""South Dakota""","""46""","""2020""","""2020""","""At least one checked""","""0""",407
NA,"""South Dakota""","""46""","""2020""","""2020""","""None checked""","""1""",10546
NA,"""South Dakota""","""46""","""2021""","""2021""","""At least one checked""","""0""",499
NA,"""South Dakota""","""46""","""2021""","""2021""","""None checked""","""1""",10866
NA,"""Tennessee""","""47""","""2016""","""2016""","""At least one checked""","""0""",3209
NA,"""Tennessee""","""47""","""2016""","""2016""","""None checked""","""1""",77585
NA,"""Tennessee""","""47""","""2016""","""2016""","""Unknown or Not Stated""","""9""",13
NA,"""Tennessee""","""47""","""2017""","""2017""","""At least one checked""","""0""",3191
NA,"""Tennessee""","""47""","""2017""","""2017""","""None checked""","""1""",77752
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",73
NA,"""Tennessee""","""47""","""2018""","""2018""","""At least one checked""","""0""",3576
NA,"""Tennessee""","""47""","""2018""","""2018""","""None checked""","""1""",77128
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""Tennessee""","""47""","""2019""","""2019""","""At least one checked""","""0""",3577
NA,"""Tennessee""","""47""","""2019""","""2019""","""None checked""","""1""",76862
NA,"""Tennessee""","""47""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Tennessee""","""47""","""2020""","""2020""","""At least one checked""","""0""",3717
NA,"""Tennessee""","""47""","""2020""","""2020""","""None checked""","""1""",74967
NA,"""Tennessee""","""47""","""2021""","""2021""","""At least one checked""","""0""",3887
NA,"""Tennessee""","""47""","""2021""","""2021""","""None checked""","""1""",77819
NA,"""Tennessee""","""47""","""2021""","""2021""","""Unknown or Not Stated""","""9""",11
NA,"""Texas""","""48""","""2016""","""2016""","""At least one checked""","""0""",10549
NA,"""Texas""","""48""","""2016""","""2016""","""None checked""","""1""",387492
NA,"""Texas""","""48""","""2017""","""2017""","""At least one checked""","""0""",9934
NA,"""Texas""","""48""","""2017""","""2017""","""None checked""","""1""",372112
NA,"""Texas""","""48""","""2018""","""2018""","""At least one checked""","""0""",9846
NA,"""Texas""","""48""","""2018""","""2018""","""None checked""","""1""",368744
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",34
NA,"""Texas""","""48""","""2019""","""2019""","""At least one checked""","""0""",9995
NA,"""Texas""","""48""","""2019""","""2019""","""None checked""","""1""",366761
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",843
