"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Syphilis""","""Syphilis Code""","Births"
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",173
NA,"""Mississippi""","""28""","""2016""","""2016""","""Yes""","""1""",41
NA,"""Mississippi""","""28""","""2016""","""2016""","""No""","""2""",37869
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",18
NA,"""Mississippi""","""28""","""2017""","""2017""","""Yes""","""1""",48
NA,"""Mississippi""","""28""","""2017""","""2017""","""No""","""2""",37297
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",12
NA,"""Mississippi""","""28""","""2018""","""2018""","""Yes""","""1""",85
NA,"""Mississippi""","""28""","""2018""","""2018""","""No""","""2""",36892
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",23
NA,"""Mississippi""","""28""","""2019""","""2019""","""Yes""","""1""",127
NA,"""Mississippi""","""28""","""2019""","""2019""","""No""","""2""",36488
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",21
NA,"""Mississippi""","""28""","""2020""","""2020""","""Yes""","""1""",180
NA,"""Mississippi""","""28""","""2020""","""2020""","""No""","""2""",35285
NA,"""Mississippi""","""28""","""2021""","""2021""","""Yes""","""1""",217
NA,"""Mississippi""","""28""","""2021""","""2021""","""No""","""2""",34929
NA,"""Mississippi""","""28""","""2021""","""2021""","""Unknown or Not Stated""","""9""",10
NA,"""Missouri""","""29""","""2016""","""2016""","""Yes""","""1""",48
NA,"""Missouri""","""29""","""2016""","""2016""","""No""","""2""",74655
NA,"""Missouri""","""29""","""2017""","""2017""","""Yes""","""1""",68
NA,"""Missouri""","""29""","""2017""","""2017""","""No""","""2""",72965
NA,"""Missouri""","""29""","""2018""","""2018""","""Yes""","""1""",79
NA,"""Missouri""","""29""","""2018""","""2018""","""No""","""2""",73189
NA,"""Missouri""","""29""","""2019""","""2019""","""Yes""","""1""",121
NA,"""Missouri""","""29""","""2019""","""2019""","""No""","""2""",72002
NA,"""Missouri""","""29""","""2020""","""2020""","""Yes""","""1""",154
NA,"""Missouri""","""29""","""2020""","""2020""","""No""","""2""",69127
NA,"""Missouri""","""29""","""2021""","""2021""","""Yes""","""1""",186
NA,"""Missouri""","""29""","""2021""","""2021""","""No""","""2""",69266
NA,"""Montana""","""30""","""2016""","""2016""","""No""","""2""",12251
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Montana""","""30""","""2017""","""2017""","""No""","""2""",11778
NA,"""Montana""","""30""","""2017""","""2017""","""Unknown or Not Stated""","""9""",19
NA,"""Montana""","""30""","""2018""","""2018""","""No""","""2""",11499
NA,"""Montana""","""30""","""2018""","""2018""","""Unknown or Not Stated""","""9""",11
NA,"""Montana""","""30""","""2019""","""2019""","""Yes""","""1""",11
NA,"""Montana""","""30""","""2019""","""2019""","""No""","""2""",11063
NA,"""Montana""","""30""","""2020""","""2020""","""Yes""","""1""",13
NA,"""Montana""","""30""","""2020""","""2020""","""No""","""2""",10777
NA,"""Montana""","""30""","""2021""","""2021""","""Yes""","""1""",16
NA,"""Montana""","""30""","""2021""","""2021""","""No""","""2""",11214
NA,"""Nebraska""","""31""","""2016""","""2016""","""Yes""","""1""",17
NA,"""Nebraska""","""31""","""2016""","""2016""","""No""","""2""",26507
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",65
NA,"""Nebraska""","""31""","""2017""","""2017""","""Yes""","""1""",29
NA,"""Nebraska""","""31""","""2017""","""2017""","""No""","""2""",25758
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",34
NA,"""Nebraska""","""31""","""2018""","""2018""","""Yes""","""1""",18
NA,"""Nebraska""","""31""","""2018""","""2018""","""No""","""2""",25428
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Nebraska""","""31""","""2019""","""2019""","""Yes""","""1""",28
NA,"""Nebraska""","""31""","""2019""","""2019""","""No""","""2""",24684
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",43
NA,"""Nebraska""","""31""","""2020""","""2020""","""Yes""","""1""",33
NA,"""Nebraska""","""31""","""2020""","""2020""","""No""","""2""",24164
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",94
NA,"""Nebraska""","""31""","""2021""","""2021""","""Yes""","""1""",38
NA,"""Nebraska""","""31""","""2021""","""2021""","""No""","""2""",24507
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",64
NA,"""Nevada""","""32""","""2016""","""2016""","""Yes""","""1""",37
NA,"""Nevada""","""32""","""2016""","""2016""","""No""","""2""",36220
NA,"""Nevada""","""32""","""2017""","""2017""","""Yes""","""1""",47
NA,"""Nevada""","""32""","""2017""","""2017""","""No""","""2""",35707
NA,"""Nevada""","""32""","""2018""","""2018""","""Yes""","""1""",63
NA,"""Nevada""","""32""","""2018""","""2018""","""No""","""2""",35618
NA,"""Nevada""","""32""","""2019""","""2019""","""Yes""","""1""",77
NA,"""Nevada""","""32""","""2019""","""2019""","""No""","""2""",34993
NA,"""Nevada""","""32""","""2020""","""2020""","""Yes""","""1""",84
NA,"""Nevada""","""32""","""2020""","""2020""","""No""","""2""",33568
NA,"""Nevada""","""32""","""2021""","""2021""","""Yes""","""1""",98
NA,"""Nevada""","""32""","""2021""","""2021""","""No""","""2""",33585
NA,"""New Hampshire""","""33""","""2016""","""2016""","""No""","""2""",12153
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",112
NA,"""New Hampshire""","""33""","""2017""","""2017""","""No""","""2""",12086
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",25
NA,"""New Hampshire""","""33""","""2018""","""2018""","""No""","""2""",11971
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""New Hampshire""","""33""","""2019""","""2019""","""No""","""2""",11808
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",24
NA,"""New Hampshire""","""33""","""2020""","""2020""","""No""","""2""",11755
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",33
NA,"""New Hampshire""","""33""","""2021""","""2021""","""No""","""2""",12585
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",33
NA,"""New Jersey""","""34""","""2016""","""2016""","""Yes""","""1""",122
NA,"""New Jersey""","""34""","""2016""","""2016""","""No""","""2""",102520
NA,"""New Jersey""","""34""","""2017""","""2017""","""Yes""","""1""",109
NA,"""New Jersey""","""34""","""2017""","""2017""","""No""","""2""",101138
NA,"""New Jersey""","""34""","""2018""","""2018""","""Yes""","""1""",110
NA,"""New Jersey""","""34""","""2018""","""2018""","""No""","""2""",101103
NA,"""New Jersey""","""34""","""2018""","""2018""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2019""","""2019""","""Yes""","""1""",121
NA,"""New Jersey""","""34""","""2019""","""2019""","""No""","""2""",99454
NA,"""New Jersey""","""34""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2020""","""2020""","""Yes""","""1""",161
NA,"""New Jersey""","""34""","""2020""","""2020""","""No""","""2""",97783
NA,"""New Jersey""","""34""","""2020""","""2020""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2021""","""2021""","""Yes""","""1""",162
NA,"""New Jersey""","""34""","""2021""","""2021""","""No""","""2""",100894
NA,"""New Jersey""","""34""","""2021""","""2021""","""Unknown or Not Stated""","""9""",441
NA,"""New Mexico""","""35""","""2016""","""2016""","""Yes""","""1""",25
NA,"""New Mexico""","""35""","""2016""","""2016""","""No""","""2""",24475
NA,"""New Mexico""","""35""","""2016""","""2016""","""Unknown or Not Stated""","""9""",192
NA,"""New Mexico""","""35""","""2017""","""2017""","""Yes""","""1""",25
NA,"""New Mexico""","""35""","""2017""","""2017""","""No""","""2""",23528
NA,"""New Mexico""","""35""","""2017""","""2017""","""Unknown or Not Stated""","""9""",214
NA,"""New Mexico""","""35""","""2018""","""2018""","""Yes""","""1""",24
NA,"""New Mexico""","""35""","""2018""","""2018""","""No""","""2""",22879
NA,"""New Mexico""","""35""","""2018""","""2018""","""Unknown or Not Stated""","""9""",136
NA,"""New Mexico""","""35""","""2019""","""2019""","""Yes""","""1""",47
NA,"""New Mexico""","""35""","""2019""","""2019""","""No""","""2""",22805
NA,"""New Mexico""","""35""","""2019""","""2019""","""Unknown or Not Stated""","""9""",108
NA,"""New Mexico""","""35""","""2020""","""2020""","""Yes""","""1""",63
NA,"""New Mexico""","""35""","""2020""","""2020""","""No""","""2""",21687
NA,"""New Mexico""","""35""","""2020""","""2020""","""Unknown or Not Stated""","""9""",153
NA,"""New Mexico""","""35""","""2021""","""2021""","""Yes""","""1""",85
NA,"""New Mexico""","""35""","""2021""","""2021""","""No""","""2""",21191
NA,"""New Mexico""","""35""","""2021""","""2021""","""Unknown or Not Stated""","""9""",115
NA,"""New York""","""36""","""2016""","""2016""","""Yes""","""1""",195
NA,"""New York""","""36""","""2016""","""2016""","""No""","""2""",233054
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",1034
NA,"""New York""","""36""","""2017""","""2017""","""Yes""","""1""",188
NA,"""New York""","""36""","""2017""","""2017""","""No""","""2""",228420
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1129
NA,"""New York""","""36""","""2018""","""2018""","""Yes""","""1""",204
NA,"""New York""","""36""","""2018""","""2018""","""No""","""2""",224864
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",1170
NA,"""New York""","""36""","""2019""","""2019""","""Yes""","""1""",216
NA,"""New York""","""36""","""2019""","""2019""","""No""","""2""",220035
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1288
NA,"""New York""","""36""","""2020""","""2020""","""Yes""","""1""",263
NA,"""New York""","""36""","""2020""","""2020""","""No""","""2""",207887
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1188
NA,"""New York""","""36""","""2021""","""2021""","""Yes""","""1""",269
NA,"""New York""","""36""","""2021""","""2021""","""No""","""2""",209074
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1399
NA,"""North Carolina""","""37""","""2016""","""2016""","""Yes""","""1""",97
NA,"""North Carolina""","""37""","""2016""","""2016""","""No""","""2""",120343
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",339
NA,"""North Carolina""","""37""","""2017""","""2017""","""Yes""","""1""",90
NA,"""North Carolina""","""37""","""2017""","""2017""","""No""","""2""",119590
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",445
NA,"""North Carolina""","""37""","""2018""","""2018""","""Yes""","""1""",102
NA,"""North Carolina""","""37""","""2018""","""2018""","""No""","""2""",118406
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",446
NA,"""North Carolina""","""37""","""2019""","""2019""","""Yes""","""1""",137
NA,"""North Carolina""","""37""","""2019""","""2019""","""No""","""2""",117977
NA,"""North Carolina""","""37""","""2019""","""2019""","""Unknown or Not Stated""","""9""",611
NA,"""North Carolina""","""37""","""2020""","""2020""","""Yes""","""1""",175
NA,"""North Carolina""","""37""","""2020""","""2020""","""No""","""2""",115089
NA,"""North Carolina""","""37""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1466
NA,"""North Carolina""","""37""","""2021""","""2021""","""Yes""","""1""",199
NA,"""North Carolina""","""37""","""2021""","""2021""","""No""","""2""",119560
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",707
NA,"""North Dakota""","""38""","""2016""","""2016""","""No""","""2""",11378
NA,"""North Dakota""","""38""","""2017""","""2017""","""Yes""","""1""",10
NA,"""North Dakota""","""38""","""2017""","""2017""","""No""","""2""",10724
NA,"""North Dakota""","""38""","""2018""","""2018""","""No""","""2""",10628
NA,"""North Dakota""","""38""","""2019""","""2019""","""Yes""","""1""",17
NA,"""North Dakota""","""38""","""2019""","""2019""","""No""","""2""",10437
NA,"""North Dakota""","""38""","""2020""","""2020""","""Yes""","""1""",16
NA,"""North Dakota""","""38""","""2020""","""2020""","""No""","""2""",10043
NA,"""North Dakota""","""38""","""2021""","""2021""","""Yes""","""1""",18
NA,"""North Dakota""","""38""","""2021""","""2021""","""No""","""2""",10094
NA,"""Ohio""","""39""","""2016""","""2016""","""Yes""","""1""",184
NA,"""Ohio""","""39""","""2016""","""2016""","""No""","""2""",137847
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",54
NA,"""Ohio""","""39""","""2017""","""2017""","""Yes""","""1""",211
NA,"""Ohio""","""39""","""2017""","""2017""","""No""","""2""",136578
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",43
NA,"""Ohio""","""39""","""2018""","""2018""","""Yes""","""1""",205
NA,"""Ohio""","""39""","""2018""","""2018""","""No""","""2""",134906
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",23
NA,"""Ohio""","""39""","""2019""","""2019""","""Yes""","""1""",215
NA,"""Ohio""","""39""","""2019""","""2019""","""No""","""2""",134193
NA,"""Ohio""","""39""","""2019""","""2019""","""Unknown or Not Stated""","""9""",53
NA,"""Ohio""","""39""","""2020""","""2020""","""Yes""","""1""",247
NA,"""Ohio""","""39""","""2020""","""2020""","""No""","""2""",128920
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",24
NA,"""Ohio""","""39""","""2021""","""2021""","""Yes""","""1""",258
NA,"""Ohio""","""39""","""2021""","""2021""","""No""","""2""",129439
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",94
NA,"""Oklahoma""","""40""","""2016""","""2016""","""Yes""","""1""",131
NA,"""Oklahoma""","""40""","""2016""","""2016""","""No""","""2""",52460
NA,"""Oklahoma""","""40""","""2017""","""2017""","""Yes""","""1""",56
NA,"""Oklahoma""","""40""","""2017""","""2017""","""No""","""2""",50156
NA,"""Oklahoma""","""40""","""2018""","""2018""","""Yes""","""1""",68
NA,"""Oklahoma""","""40""","""2018""","""2018""","""No""","""2""",49732
NA,"""Oklahoma""","""40""","""2019""","""2019""","""Yes""","""1""",79
NA,"""Oklahoma""","""40""","""2019""","""2019""","""No""","""2""",49058
NA,"""Oklahoma""","""40""","""2020""","""2020""","""Yes""","""1""",121
NA,"""Oklahoma""","""40""","""2020""","""2020""","""No""","""2""",47500
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Yes""","""1""",206
NA,"""Oklahoma""","""40""","""2021""","""2021""","""No""","""2""",48193
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Unknown or Not Stated""","""9""",11
NA,"""Oregon""","""41""","""2016""","""2016""","""Yes""","""1""",41
NA,"""Oregon""","""41""","""2016""","""2016""","""No""","""2""",45489
NA,"""Oregon""","""41""","""2017""","""2017""","""Yes""","""1""",36
NA,"""Oregon""","""41""","""2017""","""2017""","""No""","""2""",43594
NA,"""Oregon""","""41""","""2018""","""2018""","""Yes""","""1""",50
NA,"""Oregon""","""41""","""2018""","""2018""","""No""","""2""",42136
NA,"""Oregon""","""41""","""2019""","""2019""","""Yes""","""1""",55
NA,"""Oregon""","""41""","""2019""","""2019""","""No""","""2""",41800
NA,"""Oregon""","""41""","""2020""","""2020""","""Yes""","""1""",81
NA,"""Oregon""","""41""","""2020""","""2020""","""No""","""2""",39736
NA,"""Oregon""","""41""","""2021""","""2021""","""Yes""","""1""",121
NA,"""Oregon""","""41""","""2021""","""2021""","""No""","""2""",40793
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Yes""","""1""",84
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""No""","""2""",139279
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",46
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Yes""","""1""",88
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""No""","""2""",137605
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",52
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Yes""","""1""",119
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""No""","""2""",135508
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",46
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Yes""","""1""",128
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""No""","""2""",134054
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",48
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Yes""","""1""",163
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""No""","""2""",130462
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",68
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Yes""","""1""",183
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""No""","""2""",132047
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",392
NA,"""Rhode Island""","""44""","""2016""","""2016""","""No""","""2""",10794
NA,"""Rhode Island""","""44""","""2017""","""2017""","""No""","""2""",10635
NA,"""Rhode Island""","""44""","""2018""","""2018""","""No""","""2""",10498
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Yes""","""1""",10
NA,"""Rhode Island""","""44""","""2019""","""2019""","""No""","""2""",10164
NA,"""Rhode Island""","""44""","""2020""","""2020""","""No""","""2""",10087
NA,"""Rhode Island""","""44""","""2021""","""2021""","""No""","""2""",10453
NA,"""South Carolina""","""45""","""2016""","""2016""","""Yes""","""1""",59
NA,"""South Carolina""","""45""","""2016""","""2016""","""No""","""2""",57266
NA,"""South Carolina""","""45""","""2016""","""2016""","""Unknown or Not Stated""","""9""",17
NA,"""South Carolina""","""45""","""2017""","""2017""","""Yes""","""1""",63
NA,"""South Carolina""","""45""","""2017""","""2017""","""No""","""2""",56952
NA,"""South Carolina""","""45""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2018""","""2018""","""Yes""","""1""",86
NA,"""South Carolina""","""45""","""2018""","""2018""","""No""","""2""",56571
NA,"""South Carolina""","""45""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Carolina""","""45""","""2019""","""2019""","""Yes""","""1""",92
NA,"""South Carolina""","""45""","""2019""","""2019""","""No""","""2""",56933
NA,"""South Carolina""","""45""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""South Carolina""","""45""","""2020""","""2020""","""Yes""","""1""",138
NA,"""South Carolina""","""45""","""2020""","""2020""","""No""","""2""",55546
NA,"""South Carolina""","""45""","""2020""","""2020""","""Unknown or Not Stated""","""9""",20
NA,"""South Carolina""","""45""","""2021""","""2021""","""Yes""","""1""",154
NA,"""South Carolina""","""45""","""2021""","""2021""","""No""","""2""",56910
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",121
NA,"""South Dakota""","""46""","""2016""","""2016""","""No""","""2""",12267
NA,"""South Dakota""","""46""","""2017""","""2017""","""Yes""","""1""",15
NA,"""South Dakota""","""46""","""2017""","""2017""","""No""","""2""",12110
NA,"""South Dakota""","""46""","""2018""","""2018""","""No""","""2""",11866
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",18
NA,"""South Dakota""","""46""","""2019""","""2019""","""Yes""","""1""",11
NA,"""South Dakota""","""46""","""2019""","""2019""","""No""","""2""",11433
NA,"""South Dakota""","""46""","""2020""","""2020""","""Yes""","""1""",19
NA,"""South Dakota""","""46""","""2020""","""2020""","""No""","""2""",10934
NA,"""South Dakota""","""46""","""2021""","""2021""","""Yes""","""1""",48
NA,"""South Dakota""","""46""","""2021""","""2021""","""No""","""2""",11317
NA,"""Tennessee""","""47""","""2016""","""2016""","""Yes""","""1""",70
NA,"""Tennessee""","""47""","""2016""","""2016""","""No""","""2""",80724
NA,"""Tennessee""","""47""","""2016""","""2016""","""Unknown or Not Stated""","""9""",13
NA,"""Tennessee""","""47""","""2017""","""2017""","""Yes""","""1""",88
NA,"""Tennessee""","""47""","""2017""","""2017""","""No""","""2""",80855
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",73
NA,"""Tennessee""","""47""","""2018""","""2018""","""Yes""","""1""",96
NA,"""Tennessee""","""47""","""2018""","""2018""","""No""","""2""",80608
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""Tennessee""","""47""","""2019""","""2019""","""Yes""","""1""",103
NA,"""Tennessee""","""47""","""2019""","""2019""","""No""","""2""",80336
NA,"""Tennessee""","""47""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Tennessee""","""47""","""2020""","""2020""","""Yes""","""1""",122
NA,"""Tennessee""","""47""","""2020""","""2020""","""No""","""2""",78562
NA,"""Tennessee""","""47""","""2021""","""2021""","""Yes""","""1""",156
NA,"""Tennessee""","""47""","""2021""","""2021""","""No""","""2""",81550
NA,"""Tennessee""","""47""","""2021""","""2021""","""Unknown or Not Stated""","""9""",11
NA,"""Texas""","""48""","""2016""","""2016""","""Yes""","""1""",445
NA,"""Texas""","""48""","""2016""","""2016""","""No""","""2""",397596
NA,"""Texas""","""48""","""2017""","""2017""","""Yes""","""1""",547
NA,"""Texas""","""48""","""2017""","""2017""","""No""","""2""",381499
NA,"""Texas""","""48""","""2018""","""2018""","""Yes""","""1""",551
NA,"""Texas""","""48""","""2018""","""2018""","""No""","""2""",378039
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",34
NA,"""Texas""","""48""","""2019""","""2019""","""Yes""","""1""",661
NA,"""Texas""","""48""","""2019""","""2019""","""No""","""2""",376095
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",843
NA,"""Texas""","""48""","""2020""","""2020""","""Yes""","""1""",715
NA,"""Texas""","""48""","""2020""","""2020""","""No""","""2""",366659
NA,"""Texas""","""48""","""2020""","""2020""","""Unknown or Not Stated""","""9""",816
NA,"""Texas""","""48""","""2021""","""2021""","""Yes""","""1""",910
NA,"""Texas""","""48""","""2021""","""2021""","""No""","""2""",371855
NA,"""Texas""","""48""","""2021""","""2021""","""Unknown or Not Stated""","""9""",829
NA,"""Utah""","""49""","""2016""","""2016""","""Yes""","""1""",12
NA,"""Utah""","""49""","""2016""","""2016""","""No""","""2""",50451
NA,"""Utah""","""49""","""2017""","""2017""","""Yes""","""1""",12
NA,"""Utah""","""49""","""2017""","""2017""","""No""","""2""",48573
NA,"""Utah""","""49""","""2018""","""2018""","""Yes""","""1""",12
NA,"""Utah""","""49""","""2018""","""2018""","""No""","""2""",47196
NA,"""Utah""","""49""","""2019""","""2019""","""Yes""","""1""",23
NA,"""Utah""","""49""","""2019""","""2019""","""No""","""2""",46802
NA,"""Utah""","""49""","""2020""","""2020""","""Yes""","""1""",15
NA,"""Utah""","""49""","""2020""","""2020""","""No""","""2""",45687
NA,"""Utah""","""49""","""2021""","""2021""","""Yes""","""1""",13
NA,"""Utah""","""49""","""2021""","""2021""","""No""","""2""",46699
NA,"""Vermont""","""50""","""2016""","""2016""","""No""","""2""",5756
NA,"""Vermont""","""50""","""2017""","""2017""","""No""","""2""",5654
NA,"""Vermont""","""50""","""2018""","""2018""","""No""","""2""",5429
NA,"""Vermont""","""50""","""2019""","""2019""","""No""","""2""",5359
NA,"""Vermont""","""50""","""2020""","""2020""","""No""","""2""",5128
NA,"""Vermont""","""50""","""2021""","""2021""","""No""","""2""",5380
NA,"""Virginia""","""51""","""2016""","""2016""","""Yes""","""1""",46
NA,"""Virginia""","""51""","""2016""","""2016""","""No""","""2""",102405
NA,"""Virginia""","""51""","""2017""","""2017""","""Yes""","""1""",67
NA,"""Virginia""","""51""","""2017""","""2017""","""No""","""2""",100315
NA,"""Virginia""","""51""","""2018""","""2018""","""Yes""","""1""",66
NA,"""Virginia""","""51""","""2018""","""2018""","""No""","""2""",99775
NA,"""Virginia""","""51""","""2019""","""2019""","""Yes""","""1""",76
NA,"""Virginia""","""51""","""2019""","""2019""","""No""","""2""",97334
NA,"""Virginia""","""51""","""2019""","""2019""","""Unknown or Not Stated""","""9""",19
NA,"""Virginia""","""51""","""2020""","""2020""","""Yes""","""1""",96
NA,"""Virginia""","""51""","""2020""","""2020""","""No""","""2""",94628
NA,"""Virginia""","""51""","""2020""","""2020""","""Unknown or Not Stated""","""9""",25
NA,"""Virginia""","""51""","""2021""","""2021""","""Yes""","""1""",96
NA,"""Virginia""","""51""","""2021""","""2021""","""No""","""2""",95707
NA,"""Virginia""","""51""","""2021""","""2021""","""Unknown or Not Stated""","""9""",22
NA,"""Washington""","""53""","""2016""","""2016""","""Yes""","""1""",43
NA,"""Washington""","""53""","""2016""","""2016""","""No""","""2""",89984
NA,"""Washington""","""53""","""2016""","""2016""","""Unknown or Not Stated""","""9""",478
NA,"""Washington""","""53""","""2017""","""2017""","""Yes""","""1""",66
NA,"""Washington""","""53""","""2017""","""2017""","""No""","""2""",87073
NA,"""Washington""","""53""","""2017""","""2017""","""Unknown or Not Stated""","""9""",423
NA,"""Washington""","""53""","""2018""","""2018""","""Yes""","""1""",68
NA,"""Washington""","""53""","""2018""","""2018""","""No""","""2""",86015
NA,"""Washington""","""53""","""2019""","""2019""","""Yes""","""1""",85
NA,"""Washington""","""53""","""2019""","""2019""","""No""","""2""",84779
NA,"""Washington""","""53""","""2019""","""2019""","""Unknown or Not Stated""","""9""",31
NA,"""Washington""","""53""","""2020""","""2020""","""Yes""","""1""",104
NA,"""Washington""","""53""","""2020""","""2020""","""No""","""2""",82451
NA,"""Washington""","""53""","""2020""","""2020""","""Unknown or Not Stated""","""9""",531
NA,"""Washington""","""53""","""2021""","""2021""","""Yes""","""1""",130
NA,"""Washington""","""53""","""2021""","""2021""","""No""","""2""",82816
NA,"""Washington""","""53""","""2021""","""2021""","""Unknown or Not Stated""","""9""",965
NA,"""West Virginia""","""54""","""2016""","""2016""","""No""","""2""",18796
NA,"""West Virginia""","""54""","""2016""","""2016""","""Unknown or Not Stated""","""9""",275
NA,"""West Virginia""","""54""","""2017""","""2017""","""Yes""","""1""",21
NA,"""West Virginia""","""54""","""2017""","""2017""","""No""","""2""",18369
NA,"""West Virginia""","""54""","""2017""","""2017""","""Unknown or Not Stated""","""9""",285
NA,"""West Virginia""","""54""","""2018""","""2018""","""No""","""2""",17973
NA,"""West Virginia""","""54""","""2018""","""2018""","""Unknown or Not Stated""","""9""",267
NA,"""West Virginia""","""54""","""2019""","""2019""","""Yes""","""1""",22
NA,"""West Virginia""","""54""","""2019""","""2019""","""No""","""2""",17528
NA,"""West Virginia""","""54""","""2019""","""2019""","""Unknown or Not Stated""","""9""",586
NA,"""West Virginia""","""54""","""2020""","""2020""","""Yes""","""1""",21
NA,"""West Virginia""","""54""","""2020""","""2020""","""No""","""2""",16859
NA,"""West Virginia""","""54""","""2020""","""2020""","""Unknown or Not Stated""","""9""",443
NA,"""West Virginia""","""54""","""2021""","""2021""","""Yes""","""1""",33
NA,"""West Virginia""","""54""","""2021""","""2021""","""No""","""2""",16887
